nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*5.00	-----	*0.00	-----	*24.72	-----	*1995312.5	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	5.00	0.00	0.00	0.00	24.72	0.00	1995312.5	0.0	1488957.1	-----
1	17	0.396	12.5	5.1	11.31	28.10	0.00	0.00	24.08	12.73	1995273.8	0.0	1488929.9	375813013504
2	40	0.400	10.8	10.1	14.01	41.45	0.00	0.00	23.48	13.45	1995193.0	0.0	1488881.6	1060220502016
3	67	0.374	8.4	15.1	17.34	51.03	0.00	0.00	24.16	13.66	1995109.6	0.0	1488816.2	1591269523456
4	96	0.365	8.6	20.0	15.33	50.90	0.00	0.00	24.28	24.00	1995024.9	0.0	1488737.2	1785761234944
5	126	0.366	8.3	25.2	12.81	51.37	0.00	0.00	24.06	32.15	1994947.1	0.0	1488655.0	1906778701824
6	155	0.367	8.4	30.0	18.50	50.08	0.00	0.00	32.97	30.32	1994862.8	0.0	1488587.0	1532703670272
7	184	0.366	8.8	35.0	20.39	49.12	0.00	0.00	30.69	23.69	1994772.9	0.0	1488531.6	945965432832
8	212	0.362	9.0	40.0	21.06	49.01	0.00	0.00	25.89	17.73	1994683.9	0.0	1488504.4	487562575872
9	240	0.363	9.1	45.1	19.85	47.37	0.00	0.00	24.58	17.78	1994558.1	0.0	1488486.9	231400554496
10	271	0.396	8.7	50.1	18.93	45.09	0.00	0.00	24.03	19.27	1994401.4	0.0	1488454.0	119719895040
11	302	0.394	9.1	55.2	18.11	42.41	0.00	0.00	26.37	20.76	1994185.1	0.0	1488417.4	71505182720
12	329	0.383	9.3	60.1	17.49	36.59	0.00	0.00	29.44	16.43	1994004.0	0.0	1488385.1	39914872832
13	356	0.393	9.8	65.1	16.95	35.26	0.00	0.00	25.59	15.56	1993882.0	0.0	1488356.0	26835464192
14	383	0.396	10.8	70.2	16.56	34.72	0.00	0.00	24.30	16.81	1993791.1	0.0	1488325.4	23959070720
15	408	0.396	11.0	75.1	16.29	34.75	0.00	0.00	26.22	18.60	1993700.8	0.0	1488295.6	23851882496
16	434	0.391	9.8	80.1	15.99	34.81	0.00	0.00	26.12	20.44	1993609.8	0.0	1488261.2	22528884736
17	462	0.389	8.9	85.1	15.69	34.65	0.00	0.00	25.10	20.57	1993515.4	0.0	1488209.6	21506283520
18	496	0.395	6.8	90.1	15.32	34.67	0.00	0.00	24.61	19.15	1993399.1	0.0	1488151.1	20023414784
19	537	0.389	6.8	95.1	14.91	34.48	0.00	0.00	24.55	18.41	1993227.9	0.0	1488061.9	19913107456
20	576	0.375	6.3	100.1	14.58	34.50	0.00	0.00	24.85	19.29	1993054.8	0.0	1487950.0	20673288192
21	616	0.368	6.1	105.0	14.27	34.26	0.00	0.00	24.80	20.37	1992883.4	0.0	1487849.0	21157560320
22	657	0.374	6.1	110.0	13.99	33.70	0.00	0.00	24.54	20.09	1992696.4	0.0	1487745.4	21021949952
23	697	0.369	6.2	115.0	13.77	33.12	0.00	0.00	24.46	19.24	1992512.9	0.0	1487654.8	20639909888
24	738	0.377	6.4	120.1	13.80	33.28	0.00	0.00	24.49	17.96	1992326.2	0.0	1487558.5	19838756864
25	778	0.381	6.2	125.1	14.11	33.28	0.00	0.00	24.46	17.35	1992143.4	0.0	1487466.6	18470866944
26	818	0.364	6.2	130.1	14.42	33.29	0.00	0.00	24.41	17.07	1991965.9	0.0	1487378.9	16969795584
27	858	0.376	6.1	135.0	14.70	33.07	0.00	0.00	24.36	15.81	1991777.8	0.0	1487280.9	15809385472
28	899	0.375	6.1	140.1	14.96	32.24	0.00	0.00	24.33	15.18	1991594.1	0.0	1487187.2	15090727936
29	939	0.370	6.3	145.0	15.20	31.81	0.00	0.00	24.29	15.17	1991404.5	0.0	1487085.9	14480342016
30	980	0.377	6.3	150.1	15.40	31.70	0.00	0.00	24.24	15.14	1991221.5	0.0	1486990.2	13906202624
31	1020	0.374	6.2	155.0	15.58	31.66	0.00	0.00	24.18	15.15	1991045.1	0.0	1486895.9	13477041152
32	1061	0.368	6.2	160.1	15.74	31.51	0.00	0.00	24.14	15.17	1990869.2	0.0	1486806.9	13113194496
33	1102	0.367	6.1	165.1	15.87	31.43	0.00	0.00	24.12	15.14	1990676.4	0.0	1486710.5	12775541760
34	1142	0.371	6.1	170.1	15.97	31.44	0.00	0.00	24.09	15.10	1990497.4	0.0	1486620.8	12475359232
35	1182	0.369	6.1	175.0	16.06	31.45	0.00	0.00	24.04	15.09	1990312.8	0.0	1486529.8	12227466240
36	1223	0.367	6.2	180.1	16.14	31.46	0.00	0.00	24.00	15.10	1990116.8	0.0	1486431.5	12006023168
37	1263	0.362	6.2	185.0	16.19	31.45	0.00	0.00	23.97	15.09	1989936.4	0.0	1486340.5	11778454528
