nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	1995312.500	0	0.000	0	1488957.125	0
1	5.1	1995273.750	0.000	0.000	0.000	1488929.875	0.000
2	10.1	1995193.000	0.000	0.000	0.000	1488881.625	0.000
3	15.1	1995109.625	0.000	0.000	0.000	1488816.250	0.000
4	20.0	1995024.875	0.000	0.000	0.000	1488737.250	0.000
5	25.2	1994947.125	0.000	0.000	0.000	1488655.000	0.000
6	30.0	1994862.750	0.000	0.000	0.000	1488587.000	0.000
7	35.0	1994772.875	0.000	0.000	0.000	1488531.625	0.000
8	40.0	1994683.875	0.000	0.000	0.000	1488504.375	0.000
9	45.1	1994558.125	0.000	0.000	0.000	1488486.875	0.000
10	50.1	1994401.375	0.000	0.000	0.000	1488454.000	0.000
11	55.2	1994185.125	0.000	0.000	0.000	1488417.375	0.000
12	60.1	1994004.000	0.000	0.000	0.000	1488385.125	0.000
13	65.1	1993882.000	0.000	0.000	0.000	1488356.000	0.000
14	70.2	1993791.125	0.000	0.000	0.000	1488325.375	0.000
15	75.1	1993700.750	0.000	0.000	0.000	1488295.625	0.000
16	80.1	1993609.750	0.000	0.000	0.000	1488261.250	0.000
17	85.1	1993515.375	0.000	0.000	0.000	1488209.625	0.000
18	90.1	1993399.125	0.000	0.000	0.000	1488151.125	0.000
19	95.1	1993227.875	0.000	0.000	0.000	1488061.875	0.000
20	100.1	1993054.750	0.000	0.000	0.000	1487950.000	0.000
21	105.0	1992883.375	0.000	0.000	0.000	1487849.000	0.000
22	110.0	1992696.375	0.000	0.000	0.000	1487745.375	0.000
23	115.0	1992512.875	0.000	0.000	0.000	1487654.750	0.000
24	120.1	1992326.250	0.000	0.000	0.000	1487558.500	0.000
25	125.1	1992143.375	0.000	0.000	0.000	1487466.625	0.000
26	130.1	1991965.875	0.000	0.000	0.000	1487378.875	0.000
27	135.0	1991777.750	0.000	0.000	0.000	1487280.875	0.000
28	140.1	1991594.125	0.000	0.000	0.000	1487187.250	0.000
29	145.0	1991404.500	0.000	0.000	0.000	1487085.875	0.000
30	150.1	1991221.500	0.000	0.000	0.000	1486990.250	0.000
31	155.0	1991045.125	0.000	0.000	0.000	1486895.875	0.000
32	160.1	1990869.250	0.000	0.000	0.000	1486806.875	0.000
33	165.1	1990676.375	0.000	0.000	0.000	1486710.500	0.000
34	170.1	1990497.375	0.000	0.000	0.000	1486620.750	0.000
35	175.0	1990312.750	0.000	0.000	0.000	1486529.750	0.000
36	180.1	1990116.750	0.000	0.000	0.000	1486431.500	0.000
37	185.0	1989936.375	0.000	0.000	0.000	1486340.500	0.000
38	190.1	1989752.375	0.000	0.000	0.000	1486243.250	0.000
39	195.1	1989571.250	0.000	0.000	0.000	1486147.750	0.000
40	200.0	1989382.000	0.000	0.000	0.000	1486044.375	0.000
41	205.1	1989190.250	0.000	0.000	0.000	1485943.875	0.000
42	210.1	1988997.375	0.000	0.000	0.000	1485838.750	0.000
43	215.1	1988810.000	0.000	0.000	0.000	1485723.625	0.000
44	220.1	1988620.500	0.000	0.000	0.000	1485617.375	0.000
45	225.0	1988422.625	0.000	0.000	0.000	1485507.125	0.000
46	230.0	1988239.625	0.000	0.000	0.000	1485393.500	0.000
47	235.1	1988042.000	0.000	0.000	0.000	1485273.875	0.000
48	240.0	1987849.750	0.000	0.000	0.000	1485147.375	0.000
49	245.0	1987643.250	0.000	0.000	0.000	1485017.750	0.000
50	250.0	1987434.875	0.000	0.000	0.000	1484873.000	0.000
51	255.0	1987211.750	0.000	0.000	0.000	1484731.875	0.000
52	260.0	1986989.125	0.000	0.000	0.000	1484580.375	0.000
53	265.1	1986765.875	0.000	0.000	0.000	1484427.625	0.000
54	270.1	1986550.000	0.000	0.000	0.000	1484269.625	0.000
55	275.1	1986323.125	0.000	0.000	0.000	1484109.625	0.000
56	280.1	1986112.875	0.000	0.000	0.000	1483946.875	0.000
57	285.1	1985897.000	0.000	0.000	0.000	1483792.000	0.000
58	290.1	1985676.500	0.000	0.000	0.000	1483638.750	0.000
59	295.1	1985453.750	0.000	0.000	0.000	1483479.000	0.000
60	300.1	1985238.500	0.000	0.000	0.000	1483324.500	0.000
