T	Q1	V1	Q2	V2	Q3	V3
5.1	0.00	0.00	0.00	0.00	0.02	0.00
10.1	0.00	0.00	0.00	0.00	0.31	0.08
15.1	0.00	0.00	0.00	0.00	0.74	0.28
20.0	0.00	0.00	0.00	0.00	1.93	0.64
25.2	0.00	0.00	0.00	0.00	5.74	1.24
30.0	0.00	0.00	0.00	0.00	13.72	1.85
35.0	0.00	0.00	0.00	0.00	28.47	2.50
40.0	0.00	0.00	0.00	0.00	45.02	2.91
45.1	0.00	0.00	0.00	0.00	55.93	3.15
50.1	0.00	0.00	0.00	0.00	93.47	3.42
55.2	0.00	0.00	0.00	0.00	980.54	8.03
60.1	0.01	0.00	0.00	0.00	4782.60	13.26
65.1	0.07	0.00	0.00	0.00	5217.72	12.80
70.2	0.20	0.00	0.00	0.00	3366.09	9.92
75.1	0.25	0.00	0.00	0.00	1879.25	8.27
80.1	0.33	0.00	0.00	0.00	1396.50	9.13
85.1	0.61	0.00	0.00	0.00	1310.42	8.80
90.1	1.21	0.00	0.00	0.00	1480.21	7.52
95.1	2.15	0.00	0.00	0.00	1401.30	7.50
100.1	3.04	0.00	0.00	0.00	1122.34	7.97
105.0	3.61	0.00	0.00	0.00	897.96	7.67
110.0	4.05	0.00	0.00	0.00	811.41	6.96
115.0	4.38	0.00	0.00	0.00	723.97	6.58
120.1	4.67	0.00	0.00	0.00	607.39	6.24
125.1	4.91	0.00	0.00	0.00	522.96	6.01
130.1	5.12	0.00	0.00	0.00	481.32	5.82
135.0	5.34	0.03	0.00	0.00	466.27	5.68
140.1	5.68	0.00	0.00	0.00	457.16	5.62
145.0	6.16	0.00	0.00	0.00	444.18	5.58
150.1	6.81	0.36	0.00	0.00	427.97	5.52
155.0	7.78	1.45	0.00	0.00	413.10	5.43
160.1	8.85	2.47	0.00	0.00	400.66	5.34
165.1	9.69	2.92	0.00	0.00	391.14	5.26
170.1	10.40	3.14	0.00	0.00	383.44	5.20
175.0	10.95	3.27	0.00	0.00	375.82	5.15
180.1	11.40	3.34	0.00	0.00	367.81	5.11
185.0	11.82	3.39	0.00	0.00	359.68	5.06
190.1	12.18	3.42	0.00	0.00	351.01	5.01
195.1	12.48	3.44	0.00	0.00	342.63	4.96
200.0	12.75	3.45	0.00	0.00	335.56	4.92
205.1	12.96	3.48	0.00	0.00	328.99	4.88
210.1	13.15	3.51	0.00	0.00	322.85	4.84
215.1	13.38	3.51	0.00	0.00	317.03	4.81
220.1	13.53	3.52	0.00	0.00	312.08	4.77
225.0	13.64	3.53	0.00	0.00	307.65	4.74
230.0	13.75	3.52	0.00	0.00	302.00	4.69
235.1	13.92	3.50	0.00	0.00	296.33	4.64
240.0	14.08	3.48	0.00	0.00	292.01	4.59
245.0	14.19	3.45	0.00	0.00	288.08	4.54
250.0	14.33	3.42	0.00	0.00	284.76	4.49
255.0	14.47	3.41	0.00	0.00	283.04	4.45
260.0	14.57	3.40	0.00	0.00	282.35	4.43
265.1	14.57	3.41	0.00	0.00	281.35	4.41
270.1	14.52	3.39	0.00	0.00	277.88	4.38
275.1	14.56	3.38	0.00	0.00	273.99	4.35
280.1	14.55	3.37	0.00	0.00	271.31	4.33
285.1	14.47	3.36	0.00	0.00	268.78	4.30
290.1	14.47	3.35	0.00	0.00	265.96	4.28
295.1	14.42	3.36	0.00	0.00	264.98	4.27
300.1	14.26	3.36	0.00	0.00	262.93	4.26
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
