nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*25.00	-----	*0.00	-----	*24.72	-----	*9976193.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	25.00	0.00	0.00	0.00	24.72	0.00	9976193.0	0.0	1488957.1	-----
1	15	0.399	13.5	5.0	34.87	29.92	0.00	0.00	24.13	12.10	9976511.0	0.0	1488932.6	1677227982848
2	38	0.383	9.4	10.1	41.92	48.72	0.00	0.00	23.50	13.05	9976462.0	0.0	1488886.5	4888825167872
3	67	0.369	8.3	15.1	40.46	56.19	0.00	0.00	23.97	27.94	9976292.0	0.0	1488817.4	7604782759936
4	97	0.369	8.3	20.1	36.46	53.75	0.00	0.00	24.32	35.06	9976155.0	0.0	1488745.9	8603910012928
5	127	0.366	8.3	25.1	32.53	50.81	0.00	0.00	35.80	32.89	9976031.0	0.0	1488678.8	7663513501696
6	157	0.368	8.3	30.1	34.65	48.51	0.00	0.00	38.42	26.71	9975893.0	0.0	1488623.0	5549878411264
7	187	0.373	8.4	35.1	38.55	47.43	0.00	0.00	29.68	26.80	9975716.0	0.0	1488590.6	3179269324800
8	215	0.373	8.7	40.0	40.95	47.08	0.00	0.00	26.54	26.81	9975548.0	0.0	1488567.5	1638676168704
9	244	0.369	9.0	45.2	41.73	47.19	0.00	0.00	25.76	29.80	9975374.0	0.0	1488543.4	842136551424
10	271	0.366	9.1	50.1	40.84	46.94	0.00	0.00	25.67	31.35	9975247.0	0.0	1488514.5	483021324288
11	298	0.370	9.2	55.1	40.22	46.86	0.00	0.00	30.26	31.64	9975094.0	0.0	1488476.6	301656768512
12	325	0.369	9.3	60.1	39.63	43.59	0.00	0.00	26.62	31.44	9975014.0	0.0	1488435.8	202979966976
13	351	0.368	9.5	65.1	39.10	41.99	0.00	0.00	25.31	32.38	9974744.0	0.0	1488392.2	166298828800
14	377	0.368	9.5	70.1	38.72	40.66	0.00	0.00	26.23	32.01	9974592.0	0.0	1488342.0	151429103616
15	403	0.370	9.6	75.1	38.33	30.75	0.00	0.00	25.27	30.58	9974462.0	0.0	1488286.6	128743514112
16	429	0.391	10.4	80.1	37.98	31.12	0.00	0.00	24.47	27.09	9974358.0	0.0	1488235.2	104780718080
17	452	0.399	14.4	85.1	37.88	32.04	0.00	0.00	24.25	26.63	9974261.0	0.0	1488172.0	98413256704
18	473	0.389	14.5	90.1	37.34	31.80	0.00	0.00	24.03	28.46	9974191.0	0.0	1488115.9	102357319680
19	494	0.361	14.7	95.0	36.90	30.66	0.00	0.00	23.76	28.49	9974116.0	0.0	1488056.0	100213899264
20	516	0.377	14.5	100.2	36.61	30.12	0.00	0.00	23.62	25.91	9973985.0	0.0	1488001.6	92132614144
21	537	0.390	12.1	105.2	36.71	27.90	0.00	0.00	23.54	24.98	9973949.0	0.0	1487949.1	82440495104
22	559	0.376	11.3	110.1	36.86	26.24	0.00	0.00	23.40	24.55	9973816.0	0.0	1487895.8	71490789376
