T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
10.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.06	0.00	0.22
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.25	0.00	0.48
20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.64	0.00	1.78
25.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	1.22	0.00	5.51
30.1	0.00	0.00	0.00	10.76	0.00	0.00	0.00	0.00	0.11	1.84	0.00	13.58
35.1	0.00	0.00	0.00	29.77	0.00	0.00	0.00	0.00	0.17	2.47	0.00	27.87
40.0	0.00	0.00	0.00	7.61	0.00	0.00	0.00	0.00	0.22	2.76	0.00	43.69
45.2	0.00	0.00	0.00	2.60	0.00	0.00	0.00	0.00	1.65	11.19	0.00	12064.33
50.1	0.00	0.00	0.00	51.62	0.00	0.00	0.00	0.00	5.06	14.38	0.00	22375.77
55.1	0.05	15.03	0.00	115.35	0.00	0.00	0.00	0.00	9.67	18.10	0.00	18984.72
60.1	0.09	12.79	0.00	158.10	0.00	0.00	0.00	0.00	4.41	13.66	0.00	11317.91
65.1	0.07	9.22	0.00	121.22	0.00	0.00	0.00	0.00	2.22	10.13	0.00	5693.35
70.1	0.09	8.96	0.00	98.78	0.00	0.00	0.00	0.00	5.23	10.00	0.00	3747.42
75.1	0.08	8.28	0.00	96.28	0.00	0.00	0.00	0.00	5.49	9.46	0.00	3540.60
80.1	0.07	6.72	0.00	96.62	0.00	0.00	0.00	0.00	4.38	7.74	0.00	3291.13
85.1	0.07	5.74	0.00	91.36	0.00	0.00	0.00	0.00	3.79	6.68	0.00	2650.83
90.1	0.07	5.58	0.00	84.55	0.00	0.00	0.00	0.00	3.57	6.51	0.00	2173.96
95.0	0.07	5.85	0.00	81.25	0.00	0.00	0.00	0.00	3.55	6.77	0.00	2005.35
100.2	0.07	5.88	0.00	81.10	0.00	0.00	0.00	0.00	3.43	6.78	0.00	1901.20
105.2	0.06	5.74	0.00	79.04	0.00	0.00	0.00	0.00	3.15	6.63	0.00	1744.71
110.1	0.06	5.62	0.00	77.82	0.00	0.00	0.00	0.00	2.86	6.50	0.00	1596.42
115.1	0.06	5.51	0.00	78.66	0.00	0.00	0.00	0.00	2.70	6.41	0.00	1475.23
120.1	0.06	5.43	0.00	79.00	0.00	0.00	0.00	0.00	2.62	6.33	0.00	1378.42
125.0	0.06	5.38	0.00	77.53	0.00	0.00	0.00	0.00	2.53	6.27	0.00	1301.02
130.1	0.05	5.38	0.00	77.24	0.00	0.00	0.00	0.00	2.43	6.24	0.00	1232.61
135.1	0.05	5.36	0.00	77.84	0.00	0.00	0.00	0.00	2.33	6.22	0.00	1168.16
140.1	0.05	5.33	0.00	78.75	0.00	0.00	0.00	0.00	2.25	6.18	0.00	1111.71
145.1	0.05	5.29	0.00	80.07	0.00	0.00	0.00	0.00	2.17	6.14	0.00	1062.30
150.2	0.05	5.23	0.00	81.66	0.00	0.00	0.00	0.00	2.11	6.09	0.00	1014.52
155.1	0.05	5.18	0.00	82.69	0.00	0.00	0.00	0.00	2.05	6.03	0.00	972.10
160.2	0.05	5.12	0.00	83.71	0.00	0.00	0.00	0.00	1.99	5.95	0.00	931.19
165.1	0.05	5.04	0.00	85.22	0.00	0.00	0.00	0.00	1.93	5.87	0.00	894.36
170.0	0.05	4.99	0.00	86.92	0.00	0.00	0.00	0.00	1.91	5.82	0.00	865.17
175.0	0.05	4.90	0.00	89.04	0.00	0.00	0.00	0.00	1.86	5.72	0.00	832.52
180.0	0.06	4.84	0.00	91.28	0.00	0.00	0.00	0.00	1.85	5.66	0.00	809.26
185.1	0.06	4.76	0.00	89.21	0.00	0.00	0.00	0.00	1.81	5.58	0.00	781.20
190.2	0.06	4.69	0.00	89.39	0.00	0.00	0.00	0.00	1.79	5.49	0.00	756.53
195.2	0.06	4.63	0.00	90.10	0.00	0.00	0.00	0.00	1.76	5.43	0.00	735.74
200.1	0.06	4.52	0.00	91.66	0.00	0.00	0.00	0.00	1.69	5.31	0.00	709.42
205.0	0.06	4.48	0.00	97.32	0.00	0.00	0.00	0.00	1.73	5.26	0.00	698.94
210.0	0.06	4.35	0.00	96.36	0.00	0.00	0.00	0.00	1.65	5.13	0.00	675.52
215.0	0.06	4.28	0.00	101.87	0.00	0.00	0.00	0.00	1.67	5.04	0.00	665.23
220.0	0.06	4.17	0.00	101.33	0.00	0.00	0.00	0.00	1.65	4.94	0.00	650.47
225.1	0.06	4.07	0.00	103.22	0.00	0.00	0.00	0.00	1.64	4.83	0.00	636.39
230.1	0.07	3.98	0.00	105.05	0.00	0.00	0.00	0.00	1.65	4.73	0.00	626.69
235.1	0.07	3.90	0.00	106.37	0.00	0.00	0.00	0.00	1.66	4.65	0.00	618.23
240.1	0.07	3.81	0.00	108.14	0.00	0.00	0.00	0.00	1.67	4.56	0.00	608.14
245.1	0.07	3.71	0.00	107.62	0.00	0.00	0.00	0.00	1.65	4.45	0.00	593.37
250.1	0.08	3.64	0.00	109.34	0.00	0.00	0.00	0.00	1.67	4.38	0.00	582.91
255.0	0.08	3.54	0.00	110.39	0.00	0.00	0.00	0.00	1.66	4.26	0.00	567.72
260.1	0.08	3.44	0.00	110.96	0.00	0.00	0.00	0.00	1.66	4.16	0.00	555.64
265.1	0.08	3.35	0.00	111.36	0.00	0.00	0.00	0.00	1.66	4.07	0.00	545.85
270.1	0.09	3.27	0.00	111.95	0.00	0.00	0.00	0.00	1.67	3.98	0.00	537.18
275.0	0.09	3.18	0.00	112.41	0.00	0.00	0.00	0.00	1.67	3.89	0.00	528.68
280.1	0.09	3.10	0.00	112.47	0.00	0.00	0.00	0.00	1.68	3.80	0.00	520.22
285.2	0.09	3.02	0.00	112.39	0.00	0.00	0.00	0.00	1.69	3.71	0.00	510.49
290.0	0.10	2.93	0.00	113.01	0.00	0.00	0.00	0.00	1.69	3.62	0.00	501.49
295.1	0.10	2.83	0.00	114.59	0.00	0.00	0.00	0.00	1.71	3.53	0.00	494.00
