T	Q1	V1	Q2	V2	Q3	V3
205.0	0.00	0.00	0.00	0.00	0.00	0.00
210.1	0.00	0.00	0.00	0.00	0.05	0.00
215.0	0.00	0.00	0.00	0.00	1.43	0.02
220.1	0.00	0.00	0.00	0.00	8.40	0.31
225.1	0.00	0.00	0.00	0.00	18.43	0.72
230.0	0.00	0.00	0.00	0.00	26.46	0.95
235.1	0.00	0.00	0.00	0.00	31.40	1.15
240.0	0.00	0.00	0.00	0.00	33.44	1.32
245.0	0.00	0.00	0.00	0.00	33.93	1.45
250.1	0.00	0.00	0.00	0.00	33.34	1.57
255.0	0.00	0.00	0.00	0.00	32.76	1.60
260.0	0.00	0.00	0.00	0.00	30.80	1.73
265.1	0.00	0.00	0.00	0.00	30.24	1.72
270.0	0.00	0.00	0.00	0.00	28.94	1.74
275.1	0.00	0.00	0.00	0.00	28.30	1.81
280.1	0.00	0.00	0.00	0.00	28.34	1.77
285.0	0.00	0.00	0.00	0.00	28.45	1.76
290.0	0.00	0.00	0.00	0.00	28.73	1.86
295.1	0.00	0.00	0.00	0.00	29.77	1.81
300.1	0.00	0.00	0.00	0.00	30.76	1.76
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
