nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	99062.500	0	0.000	0	1488957.125	0
1	5.1	99027.375	0.000	0.000	0.000	1488927.000	0.000
2	10.1	98950.922	0.000	0.000	0.000	1488884.500	0.000
3	15.0	98884.148	0.000	0.000	0.000	1488824.125	0.000
4	20.0	98799.086	0.000	0.000	0.000	1488746.125	0.000
5	25.1	98722.547	0.000	0.000	0.000	1488655.000	0.000
6	30.1	98656.617	0.000	0.000	0.000	1488574.000	0.000
7	35.1	98548.977	0.000	0.000	0.000	1488504.500	0.000
8	40.1	98330.266	0.000	0.000	0.000	1488452.500	0.000
9	45.0	98151.352	0.000	0.000	0.000	1488402.500	0.000
10	50.1	98055.578	0.000	0.000	0.000	1488354.375	0.000
11	55.1	97997.414	0.000	0.000	0.000	1488308.500	0.000
12	60.0	97959.555	0.000	0.000	0.000	1488276.000	0.000
13	65.2	97926.578	0.000	0.000	0.000	1488237.375	0.000
14	70.1	97885.578	0.000	0.000	0.000	1488185.875	0.000
15	75.1	97841.008	0.000	0.000	0.000	1488128.500	0.000
16	80.1	97795.055	0.000	0.000	0.000	1488063.750	0.000
17	85.1	97741.031	0.000	0.000	0.000	1487986.000	0.000
18	90.1	97679.977	0.000	0.000	0.000	1487903.875	0.000
19	95.1	97620.148	0.000	0.000	0.000	1487811.750	0.000
20	100.1	97563.398	0.000	0.000	0.000	1487730.500	0.000
21	105.1	97507.859	0.000	0.000	0.000	1487635.500	0.000
22	110.0	97450.758	0.000	0.000	0.000	1487543.125	0.000
23	115.1	97391.695	0.000	0.000	0.000	1487440.375	0.000
24	120.0	97334.617	0.000	0.000	0.000	1487345.750	0.000
25	125.0	97273.266	0.000	0.000	0.000	1487243.250	0.000
26	130.1	97213.531	0.000	0.000	0.000	1487132.750	0.000
27	135.0	97156.312	0.000	0.000	0.000	1487028.000	0.000
28	140.0	97098.461	0.000	0.000	0.000	1486923.250	0.000
29	145.0	97046.344	0.000	0.000	0.000	1486805.750	0.000
30	150.1	96997.312	0.000	0.000	0.000	1486689.500	0.000
31	155.1	96950.805	0.000	0.000	0.000	1486581.375	0.000
32	160.1	96903.258	0.000	0.000	0.000	1486462.875	0.000
33	165.0	96858.086	0.000	0.000	0.000	1486340.125	0.000
34	170.1	96813.625	0.000	0.000	0.000	1486213.500	0.000
35	175.0	96771.039	0.000	0.000	0.000	1486086.125	0.000
36	180.0	96728.688	0.000	0.000	0.000	1485962.375	0.000
37	185.0	96688.391	0.000	0.000	0.000	1485843.375	0.000
38	190.0	96649.289	0.000	0.000	0.000	1485725.250	0.000
39	195.0	96611.289	0.000	0.000	0.000	1485606.500	0.000
40	200.1	96574.758	0.000	0.000	0.000	1485488.750	0.000
41	205.0	96539.375	0.000	0.000	0.000	1485372.625	0.000
42	210.1	96506.008	0.000	0.000	0.000	1485252.875	0.000
43	215.0	96471.438	0.000	0.000	0.000	1485137.000	0.000
44	220.1	96437.766	0.000	0.000	0.000	1485011.375	0.000
45	225.1	96404.227	0.000	0.000	0.000	1484886.375	0.000
46	230.0	96372.031	0.000	0.000	0.000	1484764.625	0.000
47	235.1	96337.688	0.000	0.000	0.000	1484634.875	0.000
48	240.0	96306.375	0.000	0.000	0.000	1484506.750	0.000
49	245.0	96276.328	0.000	0.000	0.000	1484384.500	0.000
50	250.1	96246.898	0.000	0.000	0.000	1484255.000	0.000
51	255.0	96222.180	0.000	0.000	0.000	1484123.875	0.000
52	260.0	96190.297	0.000	0.000	0.000	1483983.500	0.000
53	265.1	96160.469	0.000	0.000	0.000	1483852.125	0.000
54	270.0	96128.555	0.000	0.000	0.000	1483696.125	0.000
55	275.1	96096.758	0.000	0.000	0.000	1483552.250	0.000
56	280.1	96069.773	0.000	0.000	0.000	1483407.875	0.000
57	285.0	96038.984	0.000	0.000	0.000	1483243.875	0.000
58	290.0	96007.188	0.000	0.000	0.000	1483096.000	0.000
59	295.1	95977.938	0.000	0.000	0.000	1482948.750	0.000
60	300.1	95949.852	0.000	0.000	0.000	1482783.250	0.000
