nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.00	-----	*0.00	-----	*24.72	-----	*99062.5	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	1.00	0.00	0.00	0.00	24.72	0.00	99062.5	0.0	1488957.1	-----
1	18	0.399	13.8	5.1	3.00	27.74	0.00	0.00	24.12	13.57	99027.4	0.0	1488927.0	26933940224
2	40	0.400	11.4	10.1	4.42	37.02	0.00	0.00	23.49	14.05	98950.9	0.0	1488884.5	62224125952
3	64	0.389	8.9	15.0	3.08	50.29	0.00	0.00	24.30	13.09	98884.1	0.0	1488824.1	112058769408
4	93	0.366	8.8	20.0	2.15	50.66	0.00	0.00	24.28	14.25	98799.1	0.0	1488746.1	136294416384
5	122	0.364	8.6	25.1	1.16	52.24	0.00	0.00	23.98	34.05	98722.5	0.0	1488655.0	196495261696
6	151	0.367	8.5	30.1	1.85	51.64	0.00	0.00	23.97	25.77	98656.6	0.0	1488574.0	190344036352
7	180	0.363	8.7	35.1	1.61	50.39	0.00	0.00	25.29	23.66	98549.0	0.0	1488504.5	141643284480
8	216	0.398	4.6	40.1	1.94	46.70	0.00	0.00	24.92	20.38	98330.3	0.0	1488452.5	78006222848
9	251	0.399	9.3	45.0	3.37	38.71	0.00	0.00	23.93	16.88	98151.4	0.0	1488402.5	41160359936
10	278	0.396	10.2	50.1	4.10	30.42	0.00	0.00	24.62	14.54	98055.6	0.0	1488354.4	19870199808
11	305	0.397	7.7	55.1	4.21	24.11	0.00	0.00	24.53	13.29	97997.4	0.0	1488308.5	7426639360
12	327	0.400	10.8	60.0	3.72	18.49	0.00	0.00	24.29	12.85	97959.6	0.0	1488276.0	2666038784
13	354	0.386	8.7	65.2	2.93	14.00	0.00	0.00	25.37	13.86	97926.6	0.0	1488237.4	1828434560
14	387	0.380	8.0	70.1	2.49	9.52	0.00	0.00	25.26	15.52	97885.6	0.0	1488185.9	1843051776
15	419	0.381	7.3	75.1	2.28	10.58	0.00	0.00	24.94	13.77	97841.0	0.0	1488128.5	1793671680
16	457	0.380	6.6	80.1	2.13	10.42	0.00	0.00	24.78	14.66	97795.1	0.0	1488063.8	2127349504
17	495	0.372	6.5	85.1	2.07	11.21	0.00	0.00	24.56	14.98	97741.0	0.0	1487986.0	2308967680
18	534	0.378	6.5	90.1	2.06	11.52	0.00	0.00	24.44	14.94	97680.0	0.0	1487903.9	2287345664
19	573	0.364	6.4	95.1	2.04	11.52	0.00	0.00	24.33	14.92	97620.1	0.0	1487811.8	2238055936
20	612	0.364	6.4	100.1	2.01	11.42	0.00	0.00	24.30	14.84	97563.4	0.0	1487730.5	2297956352
21	651	0.364	6.4	105.1	1.98	11.36	0.00	0.00	24.37	14.74	97507.9	0.0	1487635.5	2359676160
22	689	0.364	6.4	110.0	1.96	11.31	0.00	0.00	24.39	14.64	97450.8	0.0	1487543.1	2369888256
23	729	0.367	6.3	115.1	1.93	11.21	0.00	0.00	24.30	14.57	97391.7	0.0	1487440.4	2393539328
24	768	0.368	6.3	120.0	1.91	11.23	0.00	0.00	24.27	14.57	97334.6	0.0	1487345.8	2433980928
25	808	0.370	6.4	125.0	1.89	11.32	0.00	0.00	24.23	14.78	97273.3	0.0	1487243.2	2498726144
26	848	0.368	6.3	130.1	1.87	11.10	0.00	0.00	24.18	14.59	97213.5	0.0	1487132.8	2450384640
27	886	0.370	6.5	135.0	1.86	11.13	0.00	0.00	24.11	14.67	97156.3	0.0	1487028.0	2419266560
28	924	0.371	6.5	140.0	1.84	11.07	0.00	0.00	24.04	14.59	97098.5	0.0	1486923.2	2374298880
29	962	0.367	6.7	145.0	1.82	11.04	0.00	0.00	23.99	14.57	97046.3	0.0	1486805.8	2356626688
30	1000	0.368	6.8	150.1	1.81	11.02	0.00	0.00	23.97	14.55	96997.3	0.0	1486689.5	2335879424
31	1038	0.370	6.7	155.1	1.79	10.96	0.00	0.00	23.95	14.57	96950.8	0.0	1486581.4	2310665472
32	1076	0.367	6.6	160.1	1.78	10.95	0.00	0.00	23.94	14.63	96903.3	0.0	1486462.9	2293944576
33	1113	0.363	6.7	165.0	1.77	10.87	0.00	0.00	23.98	14.64	96858.1	0.0	1486340.1	2269952000
34	1151	0.362	6.7	170.1	1.76	10.85	0.00	0.00	23.99	14.56	96813.6	0.0	1486213.5	2218946560
35	1188	0.366	6.7	175.0	1.75	10.28	0.00	0.00	23.97	14.55	96771.0	0.0	1486086.1	2190701824
36	1225	0.368	6.7	180.0	1.74	10.29	0.00	0.00	23.96	14.52	96728.7	0.0	1485962.4	2172961536
37	1261	0.370	6.8	185.0	1.73	10.26	0.00	0.00	23.98	14.46	96688.4	0.0	1485843.4	2136855936
38	1297	0.371	6.9	190.0	1.72	10.22	0.00	0.00	23.96	14.42	96649.3	0.0	1485725.2	2094725760
39	1333	0.369	6.9	195.0	1.71	10.20	0.00	0.00	23.93	14.43	96611.3	0.0	1485606.5	2074781824
40	1369	0.367	7.0	200.1	1.70	10.20	0.00	0.00	23.91	14.44	96574.8	0.0	1485488.8	2062093696
41	1404	0.367	7.0	205.0	1.69	10.22	0.00	0.00	23.91	14.40	96539.4	0.0	1485372.6	2031623040
42	1440	0.366	6.9	210.1	1.68	10.11	0.00	0.00	23.87	14.38	96506.0	0.0	1485252.9	1999963520
43	1476	0.362	6.9	215.0	1.67	10.18	0.00	0.00	23.82	14.46	96471.4	0.0	1485137.0	2024136832
44	1513	0.369	6.9	220.1	1.67	10.23	0.00	0.00	23.83	14.45	96437.8	0.0	1485011.4	2039647616
45	1549	0.374	7.1	225.1	1.66	10.29	0.00	0.00	23.84	14.48	96404.2	0.0	1484886.4	2035153280
46	1585	0.375	7.0	230.0	1.66	10.21	0.00	0.00	23.81	14.44	96372.0	0.0	1484764.6	2011473152
47	1622	0.372	6.9	235.1	1.65	9.27	0.00	0.00	23.80	14.46	96337.7	0.0	1484634.9	2006129024
48	1657	0.365	7.0	240.0	1.65	9.31	0.00	0.00	23.83	14.46	96306.4	0.0	1484506.8	1987312256
49	1692	0.369	7.2	245.0	1.64	9.24	0.00	0.00	23.87	14.33	96276.3	0.0	1484384.5	1915961472
50	1727	0.384	7.4	250.1	1.64	9.08	0.00	0.00	23.87	14.26	96246.9	0.0	1484255.0	1864240000
51	1763	0.383	6.0	255.0	1.61	9.52	0.00	0.00	23.63	14.02	96222.2	0.0	1484123.9	1843827712
52	1799	0.385	7.1	260.0	1.62	9.45	0.00	0.00	23.73	14.26	96190.3	0.0	1483983.5	2044647040
53	1836	0.380	6.0	265.1	1.62	8.88	0.00	0.00	23.79	13.84	96160.5	0.0	1483852.1	1902934528
54	1877	0.379	6.3	270.0	1.59	10.04	0.00	0.00	23.50	14.77	96128.6	0.0	1483696.1	2139619200
55	1913	0.379	6.7	275.1	1.62	9.10	0.00	0.00	23.73	14.27	96096.8	0.0	1483552.2	2084185856
56	1950	0.376	6.0	280.1	1.61	8.98	0.00	0.00	23.75	13.98	96069.8	0.0	1483407.9	1935740288
57	1992	0.376	5.8	285.0	1.57	9.95	0.00	0.00	23.41	14.70	96039.0	0.0	1483243.9	2148503296
58	2030	0.379	6.9	290.0	1.60	9.44	0.00	0.00	23.69	14.36	96007.2	0.0	1483096.0	2240329984
59	2068	0.375	6.7	295.1	1.60	9.00	0.00	0.00	23.84	14.41	95977.9	0.0	1482948.8	2035685632
60	2110	0.374	5.7	300.1	1.57	9.00	0.00	0.00	23.41	14.48	95949.9	0.0	1482783.2	2057759104
