T	Q1	V1	Q2	V2	Q3	V3
105.1	0.00	0.00	0.00	0.00	4.47	0.00
110.1	0.00	0.00	0.00	0.00	1193.95	0.00
115.0	0.00	0.00	0.00	0.00	1957.63	4.61
120.1	0.00	0.00	0.00	0.00	3203.53	12.69
125.0	0.00	0.00	0.00	0.00	4534.22	10.72
130.1	0.00	0.00	0.00	0.00	3620.73	6.94
135.0	0.00	0.00	0.00	0.00	2911.12	5.20
140.1	0.00	0.00	0.00	0.00	2313.67	4.25
145.1	0.00	0.00	0.00	0.00	1921.05	4.61
150.0	0.00	0.00	0.00	0.00	1713.65	7.82
155.1	0.00	0.00	0.00	0.00	1563.09	10.12
160.1	0.00	0.00	0.00	0.00	1437.09	10.26
165.0	0.00	0.00	0.00	0.00	1358.93	9.32
170.1	0.00	0.00	0.00	0.00	1314.78	8.43
175.1	0.00	0.00	0.00	0.00	1289.24	7.63
180.2	0.00	0.00	0.00	0.00	1240.26	6.20
185.0	0.00	0.00	0.00	0.00	1086.05	4.67
190.1	0.00	0.00	0.00	0.00	847.99	3.35
195.0	0.17	1.70	0.00	0.00	643.88	2.40
200.1	0.01	0.01	0.00	0.00	520.17	1.82
205.1	0.01	0.01	0.00	0.00	479.32	1.49
210.1	0.00	0.01	0.00	0.00	456.17	1.25
215.1	0.00	0.01	0.00	0.00	457.47	1.02
220.1	-0.01	0.00	0.00	0.00	436.67	0.98
225.0	-0.01	0.00	0.00	0.00	410.54	0.87
230.0	0.02	0.00	0.00	0.00	374.54	0.98
235.0	0.03	0.01	0.00	0.00	314.57	0.97
240.1	0.05	0.00	0.00	0.00	254.79	1.05
245.1	0.07	0.01	0.00	0.00	207.45	1.01
250.1	0.06	0.01	0.00	0.00	191.39	1.00
255.0	0.07	0.00	0.00	0.00	208.79	1.00
260.0	0.09	0.02	0.00	0.00	255.22	0.99
265.0	0.16	0.01	0.00	0.00	317.37	0.91
270.1	0.27	0.01	0.00	0.00	364.58	0.88
275.1	0.40	0.00	0.00	0.00	399.04	0.89
280.1	0.52	0.00	0.00	0.00	416.23	0.95
285.0	0.65	0.01	0.00	0.00	424.39	0.99
290.1	0.78	0.00	0.00	0.00	419.92	1.01
295.1	0.85	0.00	0.00	0.00	398.96	1.04
300.1	0.86	0.00	0.00	0.00	382.52	1.04
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
