T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
10.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.00	0.28
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.29	0.00	0.52
20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.71	0.00	1.76
25.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.30	0.00	5.90
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	1.92	0.00	14.83
35.1	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.18	2.50	0.00	29.42
40.0	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.23	2.86	0.00	44.34
45.1	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.31	3.45	0.00	117.56
50.1	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	1.79	11.19	0.00	2242.66
55.1	0.00	0.00	0.00	2.03	0.00	0.00	0.00	0.00	2.74	10.76	0.00	3830.90
60.1	0.00	0.00	0.00	4.72	0.00	0.00	0.00	0.00	3.98	10.88	0.00	3929.16
65.0	0.00	0.00	0.00	8.42	0.00	0.00	0.00	0.00	3.89	10.15	0.00	3357.92
70.0	0.00	0.00	0.00	11.92	0.00	0.00	0.00	0.00	2.46	8.52	0.00	2650.86
75.0	0.00	0.00	0.00	15.06	0.00	0.00	0.00	0.00	2.72	9.79	0.00	3399.33
80.0	0.00	0.00	0.00	17.30	0.00	0.00	0.00	0.00	3.63	10.07	0.00	4020.07
85.1	0.00	0.03	0.00	19.49	0.00	0.00	0.00	0.00	4.27	9.24	0.00	3604.07
90.1	0.01	0.50	0.00	22.36	0.00	0.00	0.00	0.00	4.12	8.37	0.00	2931.05
95.1	0.01	2.70	0.00	26.66	0.00	0.00	0.00	0.00	3.50	7.68	0.00	2253.25
100.0	0.02	4.76	0.00	31.12	0.00	0.00	0.00	0.00	2.92	7.32	0.00	1760.41
105.1	0.02	5.21	0.00	33.01	0.00	0.00	0.00	0.00	2.52	7.08	0.00	1461.15
110.1	0.02	5.19	0.00	34.10	0.00	0.00	0.00	0.00	2.28	6.91	0.00	1296.43
115.0	0.02	5.19	0.00	35.13	0.00	0.00	0.00	0.00	2.11	6.83	0.00	1183.64
120.1	0.02	5.23	0.00	36.22	0.00	0.00	0.00	0.00	1.96	6.75	0.00	1074.65
125.0	0.02	5.26	0.00	37.02	0.00	0.00	0.00	0.00	1.84	6.66	0.00	981.77
130.1	0.02	5.25	0.00	37.74	0.00	0.00	0.00	0.00	1.75	6.57	0.00	907.09
135.0	0.02	5.23	0.00	38.56	0.00	0.00	0.00	0.00	1.68	6.49	0.00	850.98
140.1	0.02	5.21	0.00	39.55	0.00	0.00	0.00	0.00	1.62	6.41	0.00	802.10
145.1	0.02	5.18	0.00	40.53	0.00	0.00	0.00	0.00	1.56	6.33	0.00	759.99
150.0	0.02	5.15	0.00	41.61	0.00	0.00	0.00	0.00	1.51	6.25	0.00	720.88
155.1	0.02	5.10	0.00	42.77	0.00	0.00	0.00	0.00	1.45	6.16	0.00	683.64
160.1	0.02	5.05	0.00	43.95	0.00	0.00	0.00	0.00	1.41	6.07	0.00	650.65
165.0	0.02	5.00	0.00	45.12	0.00	0.00	0.00	0.00	1.37	5.98	0.00	620.71
170.1	0.02	4.93	0.00	46.36	0.00	0.00	0.00	0.00	1.33	5.89	0.00	593.00
175.1	0.02	4.87	0.00	47.45	0.00	0.00	0.00	0.00	1.30	5.80	0.00	568.85
180.2	0.02	4.68	0.00	50.51	0.00	0.00	0.00	0.00	1.22	5.59	0.00	538.73
185.0	0.02	4.49	0.00	55.87	0.00	0.00	0.00	0.00	1.18	5.38	0.00	516.86
190.1	0.03	4.32	0.00	61.74	0.00	0.00	0.00	0.00	1.18	5.19	0.00	504.24
195.0	0.03	4.16	0.00	65.72	0.00	0.00	0.00	0.00	1.18	5.02	0.00	495.66
200.1	0.03	4.01	0.00	68.63	0.00	0.00	0.00	0.00	1.19	4.84	0.00	487.67
205.1	0.03	3.94	0.00	68.67	0.00	0.00	0.00	0.00	1.21	4.75	0.00	486.55
210.1	0.03	3.85	0.00	73.79	0.00	0.00	0.00	0.00	1.23	4.65	0.00	482.96
215.1	0.03	3.69	0.00	72.20	0.00	0.00	0.00	0.00	1.20	4.48	0.00	471.07
220.1	0.04	3.70	0.00	75.91	0.00	0.00	0.00	0.00	1.25	4.48	0.00	470.40
225.0	0.04	3.53	0.00	75.54	0.00	0.00	0.00	0.00	1.21	4.30	0.00	454.09
