T	Q1	V1	Q2	V2	Q3	V3
184.1	0.00	0.00	0.00	0.00	0.15	0.00
189.1	0.00	0.00	0.00	0.00	11.02	1.28
194.1	0.00	0.00	0.00	0.00	69.20	3.33
199.1	0.00	0.00	0.00	0.00	167.90	4.56
204.1	0.00	0.00	0.00	0.00	235.51	4.81
209.0	0.00	0.00	0.00	0.00	268.57	4.63
214.0	0.00	0.00	0.00	0.00	283.65	4.45
219.0	0.00	0.00	0.00	0.00	288.36	4.31
224.1	0.00	0.00	0.00	0.00	288.37	4.27
229.1	0.00	0.00	0.00	0.00	285.53	4.26
234.1	0.00	0.00	0.00	0.00	279.46	4.27
239.0	0.00	0.00	0.00	0.00	271.73	4.22
244.0	0.00	0.00	0.00	0.00	266.15	4.17
249.0	0.00	0.00	0.00	0.00	267.69	4.04
254.1	0.00	0.00	0.00	0.00	274.83	3.95
259.1	0.00	0.00	0.00	0.00	285.48	3.87
264.1	0.00	0.00	0.00	0.00	295.05	3.83
269.0	0.00	0.00	0.00	0.00	300.90	3.79
274.1	0.00	0.00	0.00	0.00	302.11	3.73
279.1	0.00	0.00	0.00	0.00	296.78	3.68
284.1	0.00	0.00	0.00	0.00	288.02	3.57
289.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
