nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*20.00	-----	*0.00	-----	*24.72	-----	*1978125.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	20.00	0.00	0.00	0.00	24.72	0.00	1978125.0	0.0	1488957.1	-----
1	16	0.398	13.8	5.1	29.18	31.66	0.00	0.00	24.09	12.63	1978103.6	0.0	1488930.0	383951962112
2	40	0.382	9.6	10.2	27.15	48.28	0.00	0.00	23.54	13.24	1978054.4	0.0	1488881.8	1049027215360
3	70	0.368	8.1	15.1	22.74	54.47	0.00	0.00	23.99	14.36	1977963.6	0.0	1488812.8	1805097369600
4	102	0.364	7.8	20.1	19.22	54.45	0.00	0.00	24.23	34.53	1977892.9	0.0	1488727.9	2556728967168
5	134	0.363	7.9	25.1	16.61	52.72	0.00	0.00	24.09	35.14	1977811.9	0.0	1488633.2	2782913101824
6	165	0.363	8.1	30.1	14.57	51.59	0.00	0.00	32.57	31.39	1977714.6	0.0	1488557.9	2442390405120
7	195	0.363	8.4	35.1	13.07	50.66	0.00	0.00	28.67	24.94	1977601.8	0.0	1488505.8	1816426840064
8	224	0.361	8.6	40.0	17.68	50.18	0.00	0.00	24.37	18.91	1977497.8	0.0	1488468.2	1246045011968
9	253	0.361	8.7	45.1	22.16	49.81	0.00	0.00	23.24	17.72	1977400.8	0.0	1488442.2	825474416640
10	282	0.361	8.8	50.1	20.85	49.57	0.00	0.00	23.33	18.47	1977304.8	0.0	1488413.0	559660793856
11	310	0.361	8.8	55.1	18.69	49.44	0.00	0.00	25.55	17.38	1977211.9	0.0	1488391.4	401427890176
12	338	0.360	8.9	60.1	17.36	49.33	0.00	0.00	29.54	15.87	1977124.2	0.0	1488365.4	293279072256
13	366	0.360	8.9	65.0	16.42	49.26	0.00	0.00	26.81	15.39	1977040.1	0.0	1488336.6	224681525248
14	394	0.360	8.9	70.0	15.71	49.26	0.00	0.00	24.74	17.09	1976967.0	0.0	1488304.8	181834416128
15	422	0.360	8.9	75.0	15.17	49.25	0.00	0.00	24.48	19.10	1976876.5	0.0	1488271.0	153815416832
16	450	0.360	9.0	80.0	14.75	49.23	0.00	0.00	24.47	19.78	1976795.4	0.0	1488224.8	133800050688
17	478	0.360	9.0	85.1	14.42	49.22	0.00	0.00	24.10	19.42	1976705.4	0.0	1488174.0	117561221120
18	506	0.360	9.0	90.1	14.15	49.19	0.00	0.00	23.82	18.62	1976615.0	0.0	1488112.4	104605155328
19	534	0.360	9.0	95.1	13.95	49.11	0.00	0.00	23.57	19.03	1976526.1	0.0	1488048.6	95514640384
20	561	0.360	9.0	100.0	13.79	49.12	0.00	0.00	23.36	20.44	1976431.8	0.0	1487986.2	88911314944
21	589	0.360	9.0	105.1	13.65	49.03	0.00	0.00	23.19	20.55	1976332.1	0.0	1487922.8	81804017664
22	617	0.360	9.1	110.1	13.67	48.93	0.00	0.00	23.07	20.69	1976236.4	0.0	1487851.9	75458543616
23	644	0.361	9.1	115.0	13.69	48.79	0.00	0.00	22.93	22.17	1976146.2	0.0	1487787.8	70537838592
24	672	0.361	9.1	120.1	13.69	45.71	0.00	0.00	22.77	22.66	1976026.9	0.0	1487721.2	64956289024
25	699	0.361	9.1	125.0	13.70	45.31	0.00	0.00	22.63	21.80	1975924.2	0.0	1487654.2	58708262912
26	727	0.361	9.1	130.1	13.69	44.68	0.00	0.00	22.50	20.49	1975824.1	0.0	1487590.5	52032180224
27	754	0.361	9.1	135.0	13.68	44.60	0.00	0.00	22.39	19.10	1975723.0	0.0	1487525.0	45864030208
28	782	0.361	9.1	140.1	13.65	44.17	0.00	0.00	22.27	18.10	1975617.5	0.0	1487456.8	40310829056
29	809	0.361	9.1	145.1	13.63	44.09	0.00	0.00	22.17	16.83	1975530.4	0.0	1487388.2	35476500480
30	836	0.361	9.1	150.0	13.59	43.54	0.00	0.00	22.07	15.94	1975431.1	0.0	1487325.6	31577714688
31	864	0.361	9.1	155.1	13.56	42.45	0.00	0.00	21.97	15.32	1975332.5	0.0	1487255.2	28226809856
32	891	0.361	9.1	160.1	13.53	31.66	0.00	0.00	21.89	15.14	1975241.0	0.0	1487190.0	25413810176
33	918	0.361	9.2	165.0	13.49	39.38	0.00	0.00	21.80	15.16	1975136.2	0.0	1487121.6	23040653312
34	946	0.361	9.2	170.1	13.48	36.93	0.00	0.00	21.72	15.19	1975035.2	0.0	1487048.4	20791416832
35	973	0.389	8.5	175.1	13.51	33.29	0.00	0.00	21.65	15.11	1974935.4	0.0	1486974.1	18674464768
36	1007	0.389	9.2	180.2	13.47	25.59	0.00	0.00	21.33	15.11	1974825.5	0.0	1486875.4	17244375040
37	1044	0.395	5.1	185.0	13.61	33.04	0.00	0.00	21.00	14.90	1974708.1	0.0	1486761.6	16221036544
38	1085	0.399	5.5	190.1	13.85	28.83	0.00	0.00	20.80	15.20	1974558.4	0.0	1486621.4	15494973440
39	1128	0.397	6.6	195.0	14.05	24.50	0.00	0.00	20.58	15.34	1974401.4	0.0	1486469.6	14899794944
40	1175	0.399	4.9	200.1	14.23	19.83	0.00	0.00	20.36	15.70	1974231.9	0.0	1486295.4	14366274560
41	1219	0.396	4.2	205.1	14.43	23.95	0.00	0.00	20.24	14.43	1974076.0	0.0	1486121.4	13007489024
42	1266	0.396	5.8	210.1	14.70	24.57	0.00	0.00	20.17	15.34	1973905.5	0.0	1485933.0	13124224000
43	1316	0.399	5.8	215.1	14.59	17.60	0.00	0.00	19.88	14.75	1973726.5	0.0	1485730.2	11884144640
44	1358	0.397	6.0	220.1	15.07	19.75	0.00	0.00	20.05	15.03	1973550.2	0.0	1485546.6	11789040640
45	1407	0.391	5.8	225.0	14.83	16.92	0.00	0.00	19.87	15.95	1973348.0	0.0	1485342.6	11356883968
46	1448	0.397	5.2	230.0	15.30	15.43	0.00	0.00	20.01	14.35	1973177.6	0.0	1485159.9	10563951616
47	1495	0.380	6.2	235.0	15.13	18.06	0.00	0.00	19.91	15.57	1972994.0	0.0	1484956.6	10432163840
48	1535	0.381	6.4	240.1	15.46	15.04	0.00	0.00	20.05	14.62	1972829.1	0.0	1484780.4	9612392448
49	1574	0.373	6.4	245.1	15.49	15.64	0.00	0.00	20.16	14.62	1972677.8	0.0	1484606.0	8919385088
