T	Q1	V1	Q2	V2	Q3	V3
5.1	0.00	0.00	0.00	0.00	0.03	0.00
10.2	0.00	0.00	0.00	0.00	0.28	0.08
15.1	0.00	0.00	0.00	0.00	0.52	0.29
20.1	0.00	0.00	0.00	0.00	1.76	0.71
25.1	0.00	0.00	0.00	0.00	5.90	1.30
30.1	0.00	0.00	0.00	0.00	14.83	1.92
35.1	0.48	0.00	0.00	0.00	29.42	2.50
40.0	0.90	0.00	0.00	0.00	44.34	2.86
45.1	0.38	0.00	0.00	0.00	117.56	3.45
50.1	0.67	0.00	0.00	0.00	2242.66	11.19
55.1	2.03	0.00	0.00	0.00	3830.90	10.76
60.1	4.72	0.00	0.00	0.00	3929.16	10.88
65.0	8.42	0.00	0.00	0.00	3357.92	10.15
70.0	11.92	0.00	0.00	0.00	2650.86	8.52
75.0	15.06	0.00	0.00	0.00	3399.33	9.79
80.0	17.30	0.00	0.00	0.00	4020.07	10.07
85.1	19.49	0.03	0.00	0.00	3604.07	9.24
90.1	22.36	0.50	0.00	0.00	2931.05	8.37
95.1	26.66	2.70	0.00	0.00	2253.25	7.68
100.0	31.12	4.76	0.00	0.00	1760.41	7.32
105.1	33.01	5.21	0.00	0.00	1461.15	7.08
110.1	34.10	5.19	0.00	0.00	1296.43	6.91
115.0	35.13	5.19	0.00	0.00	1183.64	6.83
120.1	36.22	5.23	0.00	0.00	1074.65	6.75
125.0	37.02	5.26	0.00	0.00	981.77	6.66
130.1	37.74	5.25	0.00	0.00	907.09	6.57
135.0	38.56	5.23	0.00	0.00	850.98	6.49
140.1	39.55	5.21	0.00	0.00	802.10	6.41
145.1	40.53	5.18	0.00	0.00	759.99	6.33
150.0	41.61	5.15	0.00	0.00	720.88	6.25
155.1	42.77	5.10	0.00	0.00	683.64	6.16
160.1	43.95	5.05	0.00	0.00	650.65	6.07
165.0	45.12	5.00	0.00	0.00	620.71	5.98
170.1	46.36	4.93	0.00	0.00	593.00	5.89
175.1	47.45	4.87	0.00	0.00	568.85	5.80
180.2	50.51	4.68	0.00	0.00	538.73	5.59
185.0	55.87	4.49	0.00	0.00	516.86	5.38
190.1	61.74	4.32	0.00	0.00	504.24	5.19
195.0	65.72	4.16	0.00	0.00	495.66	5.02
200.1	68.63	4.01	0.00	0.00	487.67	4.84
205.1	68.67	3.94	0.00	0.00	486.55	4.75
210.1	73.79	3.85	0.00	0.00	482.96	4.65
215.1	72.20	3.69	0.00	0.00	471.07	4.48
220.1	75.91	3.70	0.00	0.00	470.40	4.48
225.0	75.54	3.53	0.00	0.00	454.09	4.30
230.0	76.46	3.54	0.00	0.00	450.81	4.30
235.0	76.57	3.40	0.00	0.00	435.37	4.15
240.1	76.17	3.38	0.00	0.00	430.01	4.13
245.1	74.38	3.32	0.00	0.00	420.30	4.07
250.1	73.57	3.25	0.00	0.00	406.70	3.99
255.0	73.74	3.17	0.00	0.00	393.01	3.91
260.0	74.56	3.10	0.00	0.00	381.43	3.84
265.0	73.66	3.03	0.00	0.00	369.58	3.75
270.1	73.44	2.94	0.00	0.00	358.28	3.67
275.1	73.42	2.86	0.00	0.00	347.98	3.58
280.1	74.12	2.78	0.00	0.00	338.78	3.49
285.0	74.88	2.71	0.00	0.00	332.84	3.42
290.1	74.74	2.64	0.00	0.00	327.46	3.35
295.1	75.28	2.58	0.00	0.00	323.31	3.28
300.1	74.97	2.51	0.00	0.00	319.41	3.21
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
