T	Q1	V1	Q2	V2	Q3	V3
100.0	189.03	1.86	0.00	0.00	6320.33	2.65
150.1	0.38	0.00	0.00	0.00	49.67	0.34
200.0	-1.02	0.00	0.00	0.00	43.90	0.41
250.1	0.33	0.13	0.00	0.00	103.82	0.51
300.1	0.85	0.07	0.00	0.00	148.52	0.52
350.1	1.08	0.11	0.00	0.00	179.75	0.58
400.1	0.92	0.07	0.00	0.00	189.30	0.60
450.1	1.09	0.07	0.00	0.00	177.96	0.50
500.0	0.80	0.06	0.00	0.00	168.36	0.48
550.1	0.11	0.06	0.00	0.00	154.65	0.47
600.0	-0.27	0.06	0.00	0.00	133.86	0.48
650.0	-0.82	0.06	0.00	0.00	123.25	0.47
700.1	-1.65	0.07	0.00	0.00	111.04	0.47
750.1	-1.75	0.08	0.00	0.00	108.57	0.40
800.1	-2.09	0.09	0.00	0.00	99.58	0.37
850.1	-4.78	0.07	0.00	0.00	78.60	0.44
900.1	-4.65	0.07	0.00	0.00	76.76	0.39
950.1	-4.53	0.09	0.00	0.00	74.06	0.36
1000.1	-4.81	0.10	0.00	0.00	69.53	0.33
1050.0	-5.84	0.07	0.00	0.00	64.45	0.32
1100.1	-6.16	0.10	0.00	0.00	59.73	0.31
1150.2	-7.11	0.06	0.00	0.00	56.80	0.30
1200.0	-7.81	0.13	0.00	0.00	53.38	0.29
1250.2	-8.05	0.08	0.00	0.00	51.85	0.28
1300.2	-11.17	0.07	0.00	0.00	46.66	0.27
1350.2	-13.53	0.04	0.00	0.00	39.85	0.27
1400.0	-12.15	0.10	0.00	0.00	44.51	0.25
1450.1	-12.38	0.11	0.00	0.00	42.95	0.25
1500.2	-10.77	0.08	0.00	0.00	43.74	0.24
1550.0	-11.89	0.08	0.00	0.00	43.96	0.23
1600.1	-11.99	0.08	0.00	0.00	44.19	0.22
1650.1	-12.84	0.10	0.00	0.00	43.08	0.22
1700.2	-15.61	0.05	0.00	0.00	43.04	0.21
1750.2	-15.62	0.02	0.00	0.00	42.00	0.21
1800.1	-21.49	0.07	0.00	0.00	34.92	0.20
1850.1	-21.41	0.09	0.00	0.00	37.36	0.20
1900.0	-19.69	0.08	0.00	0.00	38.93	0.20
1950.1	-24.48	0.08	0.00	0.00	34.01	0.19
2000.1	-25.40	0.03	0.00	0.00	33.67	0.19
2050.0	-21.82	0.05	0.00	0.00	36.69	0.18
2100.2	-22.42	0.09	0.00	0.00	33.01	0.18
2150.1	-35.14	0.02	0.00	0.00	24.69	0.17
2200.1	-37.40	0.02	0.00	0.00	28.10	0.18
2250.1	-35.73	0.05	0.00	0.00	26.04	0.17
2300.1	-42.60	0.07	0.00	0.00	24.33	0.17
2350.1	-43.06	0.04	0.00	0.00	25.50	0.16
2400.0	-44.96	0.04	0.00	0.00	25.29	0.16
2450.0	-56.46	0.02	0.00	0.00	21.17	0.16
2500.1	-59.77	0.04	0.00	0.00	20.19	0.15
2550.0	-72.24	0.00	0.00	0.00	20.72	0.15
2600.1	-61.92	0.06	0.00	0.00	23.32	0.15
2650.1	-67.51	0.04	0.00	0.00	21.63	0.14
2700.1	-80.90	0.06	0.00	0.00	19.25	0.15
2750.1	-90.27	0.00	0.00	0.00	19.42	0.14
2800.1	-83.17	0.05	0.00	0.00	18.65	0.14
2850.0	-88.95	0.11	0.00	0.00	17.69	0.14
2900.1	-88.68	0.09	0.00	0.00	19.23	0.16
2950.1	-89.22	0.00	0.00	0.00	20.94	0.13
3000.0	-93.05	0.00	0.00	0.00	21.68	0.14
3050.0	-90.23	0.00	0.00	0.00	21.55	0.14
3100.0	-70.50	0.00	0.00	0.00	27.83	0.14
3150.0	-90.91	0.07	0.00	0.00	26.93	0.12
3200.0	-89.39	0.00	0.00	0.00	28.39	0.12
3250.0	-95.06	0.00	0.00	0.00	29.17	0.13
3300.1	-72.23	0.11	0.00	0.00	27.35	0.13
3350.0	-85.26	0.04	0.00	0.00	29.12	0.13
3400.1	-103.30	0.00	0.00	0.00	30.91	0.12
3450.0	-88.54	0.00	0.00	0.00	30.92	0.13
3500.1	-42.81	0.00	0.00	0.00	34.15	0.14
3550.1	-75.09	0.00	0.00	0.00	34.97	0.12
3600.1	-85.84	0.00	0.00	0.00	34.95	0.12
3650.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
