T	Q1	V1	Q2	V2	Q3	V3
84.0	0.00	0.00	0.00	0.00	6007.00	0.00
134.1	41.91	7.78	0.00	0.00	2869.71	8.69
184.0	6.79	1.13	0.00	0.00	407.19	1.90
234.1	4.69	0.74	0.00	0.00	264.16	1.46
284.1	4.87	0.76	0.00	0.00	253.15	1.47
334.1	5.27	0.88	0.00	0.00	259.33	1.58
384.1	5.55	0.95	0.00	0.00	253.74	1.64
434.1	4.86	0.68	0.00	0.00	228.79	1.37
484.0	5.12	0.69	0.00	0.00	233.53	1.38
534.1	5.53	0.71	0.00	0.00	243.54	1.40
584.0	5.77	0.71	0.00	0.00	252.00	1.40
634.0	6.01	0.71	0.00	0.00	261.33	1.40
684.1	6.11	0.72	0.00	0.00	267.28	1.40
734.1	5.81	0.60	0.00	0.00	253.16	1.29
784.1	5.61	0.53	0.00	0.00	243.98	1.21
834.1	6.02	0.72	0.00	0.00	254.24	1.42
884.1	5.73	0.67	0.00	0.00	240.78	1.36
934.1	5.42	0.61	0.00	0.00	225.32	1.29
984.1	4.99	0.55	0.00	0.00	208.71	1.24
1034.0	4.84	0.55	0.00	0.00	196.76	1.24
1084.1	4.67	0.55	0.00	0.00	185.38	1.24
1134.2	4.57	0.54	0.00	0.00	173.50	1.22
1184.0	4.51	0.55	0.00	0.00	164.31	1.24
1234.2	4.26	0.52	0.00	0.00	152.08	1.20
1284.2	4.32	0.63	0.00	0.00	150.82	1.32
1334.2	4.18	0.62	0.00	0.00	142.50	1.31
1384.0	3.99	0.57	0.00	0.00	131.38	1.25
1434.1	3.67	0.50	0.00	0.00	116.59	1.17
1484.2	3.92	0.50	0.00	0.00	114.40	1.18
1534.0	3.87	0.50	0.00	0.00	109.29	1.17
1584.1	3.73	0.52	0.00	0.00	105.18	1.18
1634.1	3.79	0.47	0.00	0.00	98.26	1.15
1684.2	3.86	0.49	0.00	0.00	96.17	1.16
1734.2	3.75	0.44	0.00	0.00	89.57	1.12
1784.1	4.07	0.63	0.00	0.00	95.43	1.29
1834.1	4.20	0.62	0.00	0.00	92.35	1.27
1884.0	4.16	0.58	0.00	0.00	86.97	1.23
1934.1	4.26	0.61	0.00	0.00	88.15	1.27
1984.1	4.25	0.57	0.00	0.00	84.23	1.23
2034.0	4.18	0.47	0.00	0.00	77.23	1.11
2084.2	4.33	0.51	0.00	0.00	78.78	1.16
2134.1	4.39	0.60	0.00	0.00	80.48	1.26
2184.1	4.70	0.61	0.00	0.00	82.32	1.26
2234.1	4.79	0.59	0.00	0.00	81.19	1.23
2284.1	5.05	0.62	0.00	0.00	82.83	1.27
2334.1	5.30	0.68	0.00	0.00	83.50	1.32
2384.0	5.38	0.66	0.00	0.00	81.55	1.30
2434.0	5.60	0.66	0.00	0.00	84.27	1.31
2484.1	5.81	0.65	0.00	0.00	84.66	1.30
2534.0	6.02	0.65	0.00	0.00	84.49	1.30
2584.1	6.40	0.72	0.00	0.00	87.11	1.37
2634.1	6.22	0.66	0.00	0.00	83.67	1.30
2684.1	6.78	0.76	0.00	0.00	88.82	1.40
2734.1	6.98	0.77	0.00	0.00	89.51	1.41
2784.1	7.11	0.76	0.00	0.00	89.18	1.40
2834.0	7.33	0.79	0.00	0.00	90.95	1.43
2884.1	7.77	0.74	0.00	0.00	86.91	1.38
2934.1	6.93	0.57	0.00	0.00	80.37	1.21
2984.0	7.00	0.57	0.00	0.00	79.66	1.20
3034.0	6.96	0.55	0.00	0.00	78.23	1.19
3084.0	6.51	0.42	0.00	0.00	68.16	1.04
3134.0	6.62	0.49	0.00	0.00	70.39	1.11
3184.0	6.90	0.53	0.00	0.00	71.75	1.15
3234.0	7.00	0.53	0.00	0.00	73.08	1.16
3284.1	6.97	0.50	0.00	0.00	71.55	1.13
3334.0	6.95	0.50	0.00	0.00	71.04	1.12
3384.1	7.04	0.50	0.00	0.00	71.34	1.13
3434.0	7.08	0.49	0.00	0.00	70.72	1.12
3484.1	6.20	0.30	0.00	0.00	62.41	0.90
3534.1	6.11	0.32	0.00	0.00	61.44	0.94
3584.1	6.30	0.35	0.00	0.00	62.48	0.96
3634.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
