T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.0	0.01	1.86	0.00	189.03	0.00	0.00	0.00	0.00	0.53	2.65	0.00	6320.33
150.1	0.18	0.00	0.00	0.38	0.00	0.00	0.00	0.00	4.69	0.34	0.00	49.67
200.0	0.19	0.00	0.00	-1.02	0.00	0.00	0.00	0.00	5.32	0.41	0.00	43.90
250.1	0.19	0.13	0.00	0.33	0.00	0.00	0.00	0.00	5.36	0.51	0.00	103.82
300.1	0.20	0.07	0.00	0.85	0.00	0.00	0.00	0.00	5.36	0.52	0.00	148.52
350.1	0.20	0.11	0.00	1.08	0.00	0.00	0.00	0.00	5.31	0.58	0.00	179.75
400.1	0.21	0.07	0.00	0.92	0.00	0.00	0.00	0.00	5.29	0.60	0.00	189.30
450.1	0.23	0.07	0.00	1.09	0.00	0.00	0.00	0.00	5.30	0.50	0.00	177.96
500.0	0.25	0.06	0.00	0.80	0.00	0.00	0.00	0.00	5.26	0.48	0.00	168.36
550.1	0.28	0.06	0.00	0.11	0.00	0.00	0.00	0.00	5.18	0.47	0.00	154.65
600.0	0.31	0.06	0.00	-0.27	0.00	0.00	0.00	0.00	5.08	0.48	0.00	133.86
650.0	0.35	0.06	0.00	-0.82	0.00	0.00	0.00	0.00	4.99	0.47	0.00	123.25
700.1	0.38	0.07	0.00	-1.65	0.00	0.00	0.00	0.00	4.89	0.47	0.00	111.04
750.1	0.42	0.08	0.00	-1.75	0.00	0.00	0.00	0.00	4.84	0.40	0.00	108.57
800.1	0.47	0.09	0.00	-2.09	0.00	0.00	0.00	0.00	4.78	0.37	0.00	99.58
850.1	0.51	0.07	0.00	-4.78	0.00	0.00	0.00	0.00	4.67	0.44	0.00	78.60
900.1	0.56	0.07	0.00	-4.65	0.00	0.00	0.00	0.00	4.60	0.39	0.00	76.76
950.1	0.61	0.09	0.00	-4.53	0.00	0.00	0.00	0.00	4.55	0.36	0.00	74.06
1000.1	0.66	0.10	0.00	-4.81	0.00	0.00	0.00	0.00	4.50	0.33	0.00	69.53
1050.0	0.71	0.07	0.00	-5.84	0.00	0.00	0.00	0.00	4.44	0.32	0.00	64.45
1100.1	0.76	0.10	0.00	-6.16	0.00	0.00	0.00	0.00	4.37	0.31	0.00	59.73
