T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6007.00
150.1	0.04	7.78	0.00	41.91	0.00	0.00	0.00	0.00	2.24	8.69	0.00	2869.71
200.0	0.06	1.13	0.00	6.79	0.00	0.00	0.00	0.00	2.60	1.90	0.00	407.19
250.1	0.07	0.74	0.00	4.69	0.00	0.00	0.00	0.00	2.80	1.46	0.00	264.16
300.1	0.07	0.76	0.00	4.87	0.00	0.00	0.00	0.00	2.73	1.47	0.00	253.15
350.1	0.07	0.88	0.00	5.27	0.00	0.00	0.00	0.00	2.68	1.58	0.00	259.33
400.1	0.07	0.95	0.00	5.55	0.00	0.00	0.00	0.00	2.63	1.64	0.00	253.74
450.1	0.08	0.68	0.00	4.86	0.00	0.00	0.00	0.00	2.74	1.37	0.00	228.79
500.0	0.08	0.69	0.00	5.12	0.00	0.00	0.00	0.00	2.75	1.38	0.00	233.53
550.1	0.08	0.71	0.00	5.53	0.00	0.00	0.00	0.00	2.79	1.40	0.00	243.54
600.0	0.08	0.71	0.00	5.77	0.00	0.00	0.00	0.00	2.84	1.40	0.00	252.00
650.0	0.09	0.71	0.00	6.01	0.00	0.00	0.00	0.00	2.89	1.40	0.00	261.33
700.1	0.09	0.72	0.00	6.11	0.00	0.00	0.00	0.00	2.94	1.40	0.00	267.28
750.1	0.09	0.60	0.00	5.81	0.00	0.00	0.00	0.00	2.94	1.29	0.00	253.16
800.1	0.09	0.53	0.00	5.61	0.00	0.00	0.00	0.00	2.90	1.21	0.00	243.98
850.1	0.09	0.72	0.00	6.02	0.00	0.00	0.00	0.00	2.93	1.42	0.00	254.24
900.1	0.09	0.67	0.00	5.73	0.00	0.00	0.00	0.00	2.89	1.36	0.00	240.78
950.1	0.09	0.61	0.00	5.42	0.00	0.00	0.00	0.00	2.85	1.29	0.00	225.32
1000.1	0.09	0.55	0.00	4.99	0.00	0.00	0.00	0.00	2.79	1.24	0.00	208.71
1050.0	0.09	0.55	0.00	4.84	0.00	0.00	0.00	0.00	2.73	1.24	0.00	196.76
1100.1	0.09	0.55	0.00	4.67	0.00	0.00	0.00	0.00	2.67	1.24	0.00	185.38
