T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
2950.1	16.91	0.06	0.00	902.12	0.00	0.00	0.00	0.00	0.17	0.35	0.00	19.65
3000.0	16.97	0.07	0.00	794.65	0.00	0.00	0.00	0.00	0.16	0.36	0.00	18.73
3050.0	17.04	0.17	0.00	954.14	0.00	0.00	0.00	0.00	0.16	0.35	0.00	17.63
3100.0	17.33	0.11	0.00	835.60	0.00	0.00	0.00	0.00	0.15	0.40	0.00	16.98
3150.0	17.52	0.00	0.00	731.89	0.00	0.00	0.00	0.00	0.14	0.38	0.00	15.98
3200.0	17.57	0.12	0.00	845.79	0.00	0.00	0.00	0.00	0.13	0.39	0.00	15.35
3250.0	17.52	0.08	0.00	916.74	0.00	0.00	0.00	0.00	0.13	0.36	0.00	14.55
3300.1	17.55	0.00	0.00	820.59	0.00	0.00	0.00	0.00	0.13	0.35	0.00	13.99
3350.0	17.57	0.02	0.00	952.27	0.00	0.00	0.00	0.00	0.12	0.35	0.00	13.35
3400.1	17.57	0.00	0.00	969.57	0.00	0.00	0.00	0.00	0.12	0.36	0.00	12.76
3450.0	17.59	0.09	0.00	896.04	0.00	0.00	0.00	0.00	0.11	0.35	0.00	12.21
3500.1	17.97	0.06	0.00	758.97	0.00	0.00	0.00	0.00	0.11	0.38	0.00	12.12
3550.1	18.21	0.00	0.00	745.22	0.00	0.00	0.00	0.00	0.10	0.39	0.00	11.66
3600.1	18.39	0.19	0.00	1045.93	0.00	0.00	0.00	0.00	0.10	0.39	0.00	11.18
