nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	1051562.500	0	0.000	0	1488957.125	0
1	5.1	1051552.625	0.000	0.000	0.000	1488937.375	0.000
2	10.2	1051522.125	0.000	0.000	0.000	1488901.375	0.000
3	15.2	1051480.875	0.000	0.000	0.000	1488857.000	0.000
4	20.1	1051431.250	0.000	0.000	0.000	1488809.250	0.000
5	25.0	1051372.875	0.000	0.000	0.000	1488762.500	0.000
6	30.1	1051316.625	0.000	0.000	0.000	1488718.625	0.000
7	35.2	1051263.000	0.000	0.000	0.000	1488682.125	0.000
8	40.0	1051205.000	0.000	0.000	0.000	1488653.625	0.000
9	45.2	1051142.125	0.000	0.000	0.000	1488620.625	0.000
10	50.1	1051078.125	0.000	0.000	0.000	1488584.250	0.000
11	55.1	1051011.500	0.000	0.000	0.000	1488548.125	0.000
12	60.2	1050949.375	0.000	0.000	0.000	1488511.875	0.000
13	65.2	1050890.875	0.000	0.000	0.000	1488477.250	0.000
14	70.0	1050829.750	0.000	0.000	0.000	1488448.250	0.000
15	75.1	1050763.250	0.000	0.000	0.000	1488416.750	0.000
16	80.2	1050699.875	0.000	0.000	0.000	1488383.625	0.000
17	85.0	1050640.750	0.000	0.000	0.000	1488352.250	0.000
18	90.1	1050583.500	0.000	0.000	0.000	1488317.500	0.000
19	95.2	1050523.375	0.000	0.000	0.000	1488286.250	0.000
20	100.1	1050463.500	0.000	0.000	0.000	1488250.375	0.000
21	105.3	1050400.250	0.000	0.000	0.000	1488209.875	0.000
22	110.2	1050341.750	0.000	0.000	0.000	1488168.875	0.000
23	115.2	1050286.750	0.000	0.000	0.000	1488126.750	0.000
24	120.2	1050232.000	0.000	0.000	0.000	1488078.500	0.000
25	125.0	1050177.500	0.000	0.000	0.000	1488034.125	0.000
26	130.1	1050119.000	0.000	0.000	0.000	1487979.125	0.000
27	135.2	1050059.875	0.000	0.000	0.000	1487924.750	0.000
28	140.0	1049999.250	0.000	0.000	0.000	1487874.000	0.000
29	145.2	1049938.500	0.000	0.000	0.000	1487815.875	0.000
30	150.1	1049876.375	0.000	0.000	0.000	1487763.125	0.000
31	155.2	1049814.000	0.000	0.000	0.000	1487710.875	0.000
32	160.1	1049757.625	0.000	0.000	0.000	1487659.125	0.000
33	165.2	1049703.250	0.000	0.000	0.000	1487605.875	0.000
34	170.2	1049646.250	0.000	0.000	0.000	1487555.875	0.000
35	175.1	1049589.500	0.000	0.000	0.000	1487502.500	0.000
36	180.1	1049535.125	0.000	0.000	0.000	1487449.250	0.000
37	185.1	1049477.875	0.000	0.000	0.000	1487398.000	0.000
38	190.0	1049420.750	0.000	0.000	0.000	1487342.375	0.000
39	195.0	1049360.375	0.000	0.000	0.000	1487290.875	0.000
40	200.0	1049299.500	0.000	0.000	0.000	1487236.125	0.000
41	205.1	1049238.125	0.000	0.000	0.000	1487185.750	0.000
42	210.1	1049176.000	0.000	0.000	0.000	1487129.250	0.000
43	215.1	1049110.500	0.000	0.000	0.000	1487072.500	0.000
44	220.1	1049043.500	0.000	0.000	0.000	1487022.875	0.000
45	225.1	1048977.625	0.000	0.000	0.000	1486963.500	0.000
46	230.2	1048919.375	0.000	0.000	0.000	1486909.875	0.000
47	235.2	1048856.000	0.000	0.000	0.000	1486853.000	0.000
48	240.2	1048796.875	0.000	0.000	0.000	1486795.125	0.000
49	245.3	1048737.625	0.000	0.000	0.000	1486739.500	0.000
50	250.0	1048672.125	0.000	0.000	0.000	1486687.000	0.000
51	255.1	1048607.000	0.000	0.000	0.000	1486626.750	0.000
52	260.1	1048542.438	0.000	0.000	0.000	1486569.125	0.000
53	265.2	1048477.500	0.000	0.000	0.000	1486513.875	0.000
54	270.2	1048414.062	0.000	0.000	0.000	1486460.000	0.000
55	275.2	1048349.000	0.000	0.000	0.000	1486401.000	0.000
56	280.3	1048284.938	0.000	0.000	0.000	1486346.000	0.000
57	285.0	1048224.562	0.000	0.000	0.000	1486295.625	0.000
58	290.1	1048160.250	0.000	0.000	0.000	1486236.375	0.000
59	295.1	1048092.500	0.000	0.000	0.000	1486179.625	0.000
60	300.2	1048029.562	0.000	0.000	0.000	1486122.000	0.000
