T	Q1	V1	Q2	V2	Q3	V3
155.2	0.00	0.00	0.00	0.00	0.13	0.27
160.1	0.00	0.00	0.00	0.00	75.76	4.16
165.2	0.00	0.00	0.00	0.00	244.50	5.65
170.2	0.00	0.00	0.00	0.00	276.44	5.02
175.1	0.00	0.00	0.00	0.00	270.18	4.25
180.1	0.00	0.00	0.00	0.00	250.26	3.67
185.1	0.00	0.00	0.00	0.00	222.69	3.13
190.0	0.00	0.00	0.00	0.00	191.65	2.57
195.0	0.00	0.00	0.00	0.00	158.13	2.02
200.0	0.00	0.00	0.00	0.00	122.18	1.53
205.1	0.00	0.00	0.00	0.00	84.09	1.22
210.1	0.00	0.00	0.00	0.00	46.63	1.13
215.1	0.00	0.00	0.00	0.00	15.35	1.17
220.1	0.00	0.00	0.00	0.00	-6.55	1.21
225.1	0.00	0.00	0.00	0.00	-17.09	1.21
230.2	0.00	0.00	0.00	0.00	-16.44	1.18
235.2	0.00	0.00	0.00	0.00	-7.51	1.14
240.2	0.00	0.00	0.00	0.00	5.07	1.11
245.3	0.00	0.00	0.00	0.00	17.07	1.11
250.0	0.00	0.00	0.00	0.00	25.59	1.12
255.1	0.00	0.00	0.00	0.00	33.65	1.14
260.1	0.00	0.00	0.00	0.00	49.82	1.12
265.2	0.00	0.00	0.00	0.00	77.59	1.06
270.2	0.00	0.00	0.00	0.00	101.08	1.00
275.2	0.00	0.00	0.00	0.00	105.16	1.00
280.3	0.00	0.00	0.00	0.00	93.00	1.03
285.0	0.00	0.00	0.00	0.00	75.48	1.08
290.1	0.00	0.00	0.00	0.00	57.12	1.13
295.1	0.00	0.00	0.00	0.00	42.57	1.15
300.2	0.00	0.00	0.00	0.00	32.99	1.15
305.2	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
