T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17
15.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.00	0.58
20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.27	0.00	1.34
25.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.64	0.00	3.28
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.34	0.00	8.77
35.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	2.24	0.00	21.06
40.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.86	0.00	36.45
45.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.20	0.00	47.25
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.31	0.00	50.59
55.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.28	0.00	49.40
60.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.18	0.00	46.86
65.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.13	0.00	47.02
70.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	3.61	0.00	92.23
75.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	6.67	0.00	494.46
80.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	8.52	0.00	1131.29
85.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	8.38	0.00	1146.36
90.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	7.45	0.00	853.53
