T	Q1	V1	Q2	V2	Q3	V3
130.2	0.00	0.00	0.00	0.00	2.44	0.00
135.0	0.00	0.00	0.00	0.00	508.20	1.47
140.1	0.00	0.00	0.00	0.00	849.06	7.01
145.1	0.00	0.00	0.00	0.00	780.10	8.88
150.2	0.00	0.00	0.00	0.00	686.66	7.93
155.2	0.00	0.00	0.00	0.00	597.78	6.97
160.1	0.00	0.00	0.00	0.00	551.54	6.25
165.1	0.00	0.00	0.00	0.00	502.42	5.63
170.0	0.00	0.00	0.00	0.00	444.77	4.87
175.0	0.00	0.00	0.00	0.00	381.68	3.96
180.0	0.00	0.00	0.00	0.00	313.82	3.03
185.0	0.00	0.00	0.00	0.00	239.59	2.18
190.0	0.00	0.00	0.00	0.00	174.21	1.65
195.1	0.00	0.00	0.00	0.00	119.59	1.41
200.1	0.00	0.00	0.00	0.00	83.26	1.42
205.2	0.00	0.00	0.00	0.00	60.59	1.36
210.1	0.00	0.00	0.00	0.00	48.09	1.25
215.0	0.00	0.00	0.00	0.00	47.98	1.24
220.2	0.00	0.00	0.00	0.00	68.61	1.28
225.0	0.00	0.00	0.00	0.00	130.61	1.27
230.1	0.00	0.00	0.00	0.00	251.29	1.17
235.1	0.00	0.00	0.00	0.00	331.63	1.24
240.1	0.00	0.00	0.00	0.00	334.50	1.38
245.1	0.00	0.00	0.00	0.00	287.71	1.49
250.0	0.00	0.00	0.00	0.00	228.31	1.55
255.0	0.00	0.00	0.00	0.00	173.60	1.56
260.1	0.00	0.00	0.00	0.00	129.13	1.52
265.0	0.00	0.00	0.00	0.00	102.50	1.41
270.0	0.00	0.00	0.00	0.00	89.59	1.34
275.1	0.00	0.00	0.00	0.00	90.49	1.27
280.1	0.00	0.00	0.00	0.00	102.12	1.22
285.0	0.00	0.00	0.00	0.00	119.36	1.18
290.0	0.00	0.00	0.00	0.00	139.59	1.15
295.1	0.00	0.00	0.00	0.00	158.13	1.16
300.1	0.00	0.00	0.00	0.00	173.09	1.15
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
