T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
10.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.18	0.00	0.44
20.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.44	0.00	1.42
25.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	1.04	0.00	5.28
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	1.68	0.00	12.32
35.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	2.49	0.00	27.25
40.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	3.07	0.00	43.82
45.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.37	0.00	52.86
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	3.44	0.00	54.62
55.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.34	0.00	49.84
60.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	3.09	0.00	42.19
65.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	4.23	0.00	172.94
70.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	10.65	0.00	2122.33
75.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.74	10.11	0.00	2815.10
80.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.56	8.77	0.00	2108.36
85.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.35	7.44	0.00	1347.25
90.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	6.53	0.00	863.40
95.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.47	6.06	0.00	559.46
100.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	5.75	0.00	362.78
105.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	5.47	0.00	225.10
110.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	4.89	0.00	133.18
115.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	4.30	0.00	95.23
120.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	4.27	0.00	112.31
125.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.47	4.65	0.00	150.92
130.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	5.02	0.00	192.35
135.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	5.28	0.00	232.96
140.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	5.62	0.00	298.65
145.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.81	5.97	0.00	361.91
150.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	6.23	0.00	385.57
155.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.84	6.17	0.00	356.29
160.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	5.87	0.00	302.14
165.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	5.51	0.00	247.65
170.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	5.18	0.00	204.98
175.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	4.93	0.00	177.08
180.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.83	0.00	166.84
185.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	4.79	0.00	168.78
190.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	4.86	0.00	181.12
195.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	4.91	0.00	193.19
200.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	5.03	0.00	207.34
205.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	5.12	0.00	216.61
210.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62	5.19	0.00	220.11
215.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	5.15	0.00	215.61
220.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	5.11	0.00	209.31
225.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.58	5.05	0.00	201.34
230.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	5.01	0.00	191.62
235.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	4.89	0.00	179.23
240.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.80	0.00	171.15
245.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.77	0.00	169.89
250.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.76	0.00	171.90
255.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	4.78	0.00	174.75
260.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	4.84	0.00	177.89
265.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	4.83	0.00	177.66
270.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	4.83	0.00	176.85
275.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	4.80	0.00	175.18
280.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	4.78	0.00	173.87
285.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	4.76	0.00	172.12
290.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.73	0.00	169.51
295.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	4.71	0.00	167.42
