nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	2100000.000	0	0.000	0	1488957.125	0
1	5.0	2099981.750	0.000	0.000	0.000	1488934.125	0.000
2	10.0	2099940.000	0.000	0.000	0.000	1488893.500	0.000
3	15.1	2099890.250	0.000	0.000	0.000	1488838.750	0.000
4	20.0	2099815.000	0.000	0.000	0.000	1488766.875	0.000
5	25.2	2099748.500	0.000	0.000	0.000	1488705.125	0.000
6	30.1	2099680.750	0.000	0.000	0.000	1488653.500	0.000
7	35.1	2099616.750	0.000	0.000	0.000	1488612.875	0.000
8	40.0	2099550.250	0.000	0.000	0.000	1488585.375	0.000
9	45.1	2099488.250	0.000	0.000	0.000	1488555.750	0.000
10	50.1	2099437.250	0.000	0.000	0.000	1488528.000	0.000
11	55.1	2099386.500	0.000	0.000	0.000	1488495.500	0.000
12	60.0	2099327.750	0.000	0.000	0.000	1488465.125	0.000
13	65.2	2099256.250	0.000	0.000	0.000	1488432.375	0.000
14	70.1	2099178.000	0.000	0.000	0.000	1488394.000	0.000
15	75.2	2099098.500	0.000	0.000	0.000	1488357.875	0.000
16	80.0	2099010.250	0.000	0.000	0.000	1488316.375	0.000
17	85.0	2098938.500	0.000	0.000	0.000	1488281.875	0.000
18	90.0	2098873.000	0.000	0.000	0.000	1488236.625	0.000
19	95.1	2098785.000	0.000	0.000	0.000	1488180.875	0.000
20	100.1	2098716.250	0.000	0.000	0.000	1488129.250	0.000
21	105.1	2098647.000	0.000	0.000	0.000	1488075.250	0.000
22	110.1	2098583.250	0.000	0.000	0.000	1488021.125	0.000
23	115.0	2098526.250	0.000	0.000	0.000	1487960.500	0.000
24	120.1	2098454.750	0.000	0.000	0.000	1487895.125	0.000
25	125.1	2098379.750	0.000	0.000	0.000	1487824.500	0.000
26	130.2	2098302.500	0.000	0.000	0.000	1487751.125	0.000
27	135.0	2098223.500	0.000	0.000	0.000	1487674.125	0.000
28	140.1	2098116.250	0.000	0.000	0.000	1487586.750	0.000
29	145.1	2098032.750	0.000	0.000	0.000	1487504.750	0.000
30	150.2	2097952.250	0.000	0.000	0.000	1487422.875	0.000
31	155.2	2097875.500	0.000	0.000	0.000	1487347.875	0.000
32	160.1	2097785.500	0.000	0.000	0.000	1487265.500	0.000
33	165.1	2097688.750	0.000	0.000	0.000	1487182.125	0.000
34	170.0	2097591.750	0.000	0.000	0.000	1487095.250	0.000
35	175.0	2097496.500	0.000	0.000	0.000	1487009.250	0.000
36	180.0	2097422.500	0.000	0.000	0.000	1486929.625	0.000
37	185.0	2097332.500	0.000	0.000	0.000	1486841.875	0.000
38	190.0	2097243.000	0.000	0.000	0.000	1486751.875	0.000
39	195.1	2097134.750	0.000	0.000	0.000	1486658.125	0.000
40	200.1	2097027.500	0.000	0.000	0.000	1486565.000	0.000
41	205.2	2096921.250	0.000	0.000	0.000	1486471.625	0.000
42	210.1	2096838.250	0.000	0.000	0.000	1486380.375	0.000
43	215.0	2096746.875	0.000	0.000	0.000	1486289.500	0.000
44	220.2	2096644.875	0.000	0.000	0.000	1486189.375	0.000
45	225.0	2096546.250	0.000	0.000	0.000	1486102.125	0.000
46	230.1	2096455.750	0.000	0.000	0.000	1486014.000	0.000
47	235.1	2096354.250	0.000	0.000	0.000	1485915.875	0.000
48	240.1	2096253.500	0.000	0.000	0.000	1485823.125	0.000
49	245.1	2096137.500	0.000	0.000	0.000	1485729.625	0.000
50	250.0	2096034.500	0.000	0.000	0.000	1485633.750	0.000
51	255.0	2095938.500	0.000	0.000	0.000	1485538.625	0.000
52	260.1	2095842.875	0.000	0.000	0.000	1485443.500	0.000
53	265.0	2095749.000	0.000	0.000	0.000	1485348.500	0.000
54	270.0	2095642.875	0.000	0.000	0.000	1485248.125	0.000
55	275.1	2095532.250	0.000	0.000	0.000	1485144.375	0.000
56	280.1	2095420.250	0.000	0.000	0.000	1485045.750	0.000
57	285.0	2095311.125	0.000	0.000	0.000	1484947.625	0.000
58	290.0	2095194.250	0.000	0.000	0.000	1484849.500	0.000
59	295.1	2095071.875	0.000	0.000	0.000	1484743.875	0.000
60	300.1	2094952.875	0.000	0.000	0.000	1484643.625	0.000
