nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*20.00	-----	*0.00	-----	*24.72	-----	*2100000.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	20.00	0.00	0.00	0.00	24.72	0.00	2100000.0	0.0	1488957.1	-----
1	14	0.395	14.6	5.0	23.03	28.42	0.00	0.00	24.18	12.73	2099981.8	0.0	1488934.1	312580702208
2	34	0.387	12.0	10.0	19.78	33.29	0.00	0.00	23.65	12.97	2099940.0	0.0	1488893.5	734131453952
3	59	0.396	8.6	15.1	19.10	31.80	0.00	0.00	23.98	12.78	2099890.2	0.0	1488838.8	824854380544
4	87	0.397	6.5	20.0	18.34	33.51	0.00	0.00	24.30	20.05	2099815.0	0.0	1488766.9	678974390272
5	112	0.393	11.4	25.2	17.77	33.18	0.00	0.00	24.39	16.01	2099748.5	0.0	1488705.1	429810909184
6	136	0.400	10.7	30.1	17.20	31.28	0.00	0.00	24.16	13.80	2099680.8	0.0	1488653.5	231000162304
7	157	0.396	13.0	35.1	16.81	29.70	0.00	0.00	24.31	13.41	2099616.8	0.0	1488612.9	121394642944
8	176	0.396	12.8	40.0	16.51	29.48	0.00	0.00	27.15	12.65	2099550.2	0.0	1488585.4	78431297536
9	195	0.399	11.8	45.1	16.14	29.15	0.00	0.00	27.17	12.57	2099488.2	0.0	1488555.8	59521896448
10	213	0.394	14.2	50.1	15.73	28.71	0.00	0.00	26.13	12.59	2099437.2	0.0	1488528.0	48633085952
11	231	0.398	13.7	55.1	15.33	28.44	0.00	0.00	26.64	13.36	2099386.5	0.0	1488495.5	40119787520
12	250	0.397	11.8	60.0	14.98	28.07	0.00	0.00	27.57	13.62	2099327.8	0.0	1488465.1	31656253440
13	271	0.398	12.1	65.2	14.60	27.50	0.00	0.00	25.42	13.44	2099256.2	0.0	1488432.4	26790256640
14	294	0.390	9.8	70.1	14.18	27.53	0.00	0.00	24.65	14.56	2099178.0	0.0	1488394.0	24653686784
15	316	0.400	9.2	75.2	13.90	27.34	0.00	0.00	25.96	13.26	2099098.5	0.0	1488357.9	23204405248
16	341	0.397	11.5	80.0	13.50	26.74	0.00	0.00	26.36	14.25	2099010.2	0.0	1488316.4	22269284352
17	362	0.392	13.3	85.0	13.27	27.20	0.00	0.00	25.67	14.40	2098938.5	0.0	1488281.9	20921034752
18	384	0.394	9.3	90.0	13.03	26.54	0.00	0.00	25.48	16.12	2098873.0	0.0	1488236.6	19496257536
19	408	0.398	13.0	95.1	12.75	26.62	0.00	0.00	25.72	17.49	2098785.0	0.0	1488180.9	19789848576
20	430	0.398	12.7	100.1	12.55	26.51	0.00	0.00	25.95	18.25	2098716.2	0.0	1488129.2	18813927424
21	450	0.395	13.0	105.1	12.52	27.51	0.00	0.00	25.64	17.98	2098647.0	0.0	1488075.2	17694367744
22	470	0.399	12.8	110.1	12.49	26.98	0.00	0.00	25.47	16.79	2098583.2	0.0	1488021.1	16074592256
23	490	0.396	12.2	115.0	12.50	27.03	0.00	0.00	25.39	17.42	2098526.2	0.0	1487960.5	15475410944
24	511	0.389	11.9	120.1	12.48	26.33	0.00	0.00	25.46	17.21	2098454.8	0.0	1487895.1	15131198464
25	533	0.376	11.0	125.1	12.43	26.04	0.00	0.00	25.40	16.41	2098379.8	0.0	1487824.5	14747143168
26	556	0.378	10.8	130.2	12.42	25.92	0.00	0.00	25.38	15.18	2098302.5	0.0	1487751.1	14016661504
27	580	0.394	6.5	135.0	12.24	24.83	0.00	0.00	25.26	14.16	2098223.5	0.0	1487674.1	13113009152
28	606	0.399	10.2	140.1	12.21	25.60	0.00	0.00	25.29	13.58	2098116.2	0.0	1487586.8	13533602816
29	630	0.376	10.1	145.1	12.31	25.49	0.00	0.00	25.49	13.48	2098032.8	0.0	1487504.8	12571720704
30	653	0.380	10.6	150.2	12.28	25.95	0.00	0.00	25.38	13.01	2097952.2	0.0	1487422.9	11755244544
31	677	0.382	10.0	155.2	12.12	25.23	0.00	0.00	25.28	13.50	2097875.5	0.0	1487347.9	11226662912
32	701	0.386	10.5	160.1	12.06	25.35	0.00	0.00	25.29	13.69	2097785.5	0.0	1487265.5	11337561088
33	726	0.378	10.2	165.1	12.08	25.20	0.00	0.00	25.40	13.70	2097688.8	0.0	1487182.1	11092794368
34	751	0.381	10.1	170.0	12.00	25.10	0.00	0.00	25.34	13.76	2097591.8	0.0	1487095.2	10936139776
35	776	0.396	11.4	175.0	12.13	25.50	0.00	0.00	25.27	14.06	2097496.5	0.0	1487009.2	10876404736
36	799	0.379	10.1	180.0	12.29	25.43	0.00	0.00	25.26	13.05	2097422.5	0.0	1486929.6	10114180096
37	824	0.377	10.2	185.0	12.31	25.16	0.00	0.00	25.17	13.58	2097332.5	0.0	1486841.9	10136210432
38	849	0.379	9.8	190.0	12.45	25.08	0.00	0.00	25.11	13.45	2097243.0	0.0	1486751.9	10072889344
39	877	0.399	8.3	195.1	12.40	24.83	0.00	0.00	25.08	14.30	2097134.8	0.0	1486658.1	10407077888
40	903	0.399	9.8	200.1	12.68	24.86	0.00	0.00	25.16	13.38	2097027.5	0.0	1486565.0	10315976704
41	929	0.397	10.9	205.2	12.82	25.38	0.00	0.00	25.28	13.93	2096921.2	0.0	1486471.6	10168818688
42	953	0.400	9.4	210.1	12.86	25.07	0.00	0.00	25.07	13.41	2096838.2	0.0	1486380.4	9504486400
43	979	0.312	10.6	215.0	12.85	24.96	0.00	0.00	25.07	13.78	2096746.9	0.0	1486289.5	9881080832
44	1006	0.306	10.4	220.2	12.98	24.91	0.00	0.00	25.10	13.76	2096644.9	0.0	1486189.4	9901914112
45	1031	0.318	11.2	225.0	13.05	25.07	0.00	0.00	25.16	13.93	2096546.2	0.0	1486102.1	9896352768
46	1056	0.400	10.4	230.1	13.12	24.84	0.00	0.00	25.08	13.19	2096455.8	0.0	1486014.0	9230466048
47	1082	0.317	10.8	235.1	13.08	24.85	0.00	0.00	25.05	13.84	2096354.2	0.0	1485915.9	9379820544
48	1108	0.310	10.8	240.1	13.12	24.83	0.00	0.00	25.00	13.79	2096253.5	0.0	1485823.1	9465694208
49	1134	0.300	10.9	245.1	13.20	24.84	0.00	0.00	25.06	13.74	2096137.5	0.0	1485729.6	9468394496
50	1160	0.307	10.1	250.0	13.20	24.69	0.00	0.00	25.03	13.81	2096034.5	0.0	1485633.8	9364701184
51	1186	0.321	11.0	255.0	13.27	24.99	0.00	0.00	25.02	13.93	2095938.5	0.0	1485538.6	9414598656
52	1211	0.399	9.2	260.1	13.36	25.78	0.00	0.00	25.08	13.50	2095842.9	0.0	1485443.5	9112654848
53	1237	0.321	9.7	265.0	13.25	24.51	0.00	0.00	25.02	13.29	2095749.0	0.0	1485348.5	8885888000
54	1263	0.315	10.4	270.0	13.28	24.74	0.00	0.00	24.93	13.57	2095642.9	0.0	1485248.1	8968125440
55	1290	0.305	10.2	275.1	13.23	24.72	0.00	0.00	24.94	13.85	2095532.2	0.0	1485144.4	9108375552
56	1317	0.299	10.3	280.1	13.26	24.72	0.00	0.00	24.94	13.75	2095420.2	0.0	1485045.8	9156077568
57	1343	0.301	10.2	285.0	13.29	24.68	0.00	0.00	24.94	13.78	2095311.1	0.0	1484947.6	9151619072
58	1370	0.301	10.1	290.0	13.31	24.66	0.00	0.00	24.90	13.84	2095194.2	0.0	1484849.5	9145914368
59	1397	0.301	10.7	295.1	13.34	24.95	0.00	0.00	24.91	13.98	2095071.9	0.0	1484743.9	9200050176
60	1424	0.328	10.1	300.1	13.35	24.46	0.00	0.00	24.88	13.85	2094952.9	0.0	1484643.6	8922372096
