T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
45.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
55.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
60.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
65.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
70.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
75.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
80.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
85.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
90.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
95.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
100.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
105.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
110.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
120.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
125.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
130.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.44
135.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.47	0.00	508.20
140.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	7.01	0.00	849.06
145.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	8.88	0.00	780.10
150.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	7.93	0.00	686.66
155.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.03	6.97	0.00	597.78
160.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.07	6.25	0.00	551.54
165.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	5.63	0.00	502.42
170.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	4.87	0.00	444.77
175.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	3.96	0.00	381.68
180.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	3.03	0.00	313.82
185.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.02	2.18	0.00	239.59
190.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10	1.65	0.00	174.21
195.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.15	1.41	0.00	119.59
200.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	1.42	0.00	83.26
205.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.29	1.36	0.00	60.59
210.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.35	1.25	0.00	48.09
215.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	1.24	0.00	47.98
220.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.43	1.28	0.00	68.61
225.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52	1.27	0.00	130.61
230.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.17	0.00	251.29
235.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	1.24	0.00	331.63
240.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	1.38	0.00	334.50
245.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	1.49	0.00	287.71
250.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81	1.55	0.00	228.31
255.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.56	0.00	173.60
260.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.72	1.52	0.00	129.13
265.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.41	0.00	102.50
270.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	1.34	0.00	89.59
275.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	1.27	0.00	90.49
280.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.22	0.00	102.12
285.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.75	1.18	0.00	119.36
290.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	1.15	0.00	139.59
295.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.86	1.16	0.00	158.13
300.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	1.15	0.00	173.09
