T	Q1	V1	Q2	V2	Q3	V3
65.2	0.00	0.00	0.00	0.00	13923.80	0.00
70.1	135.88	0.00	0.00	0.00	16801.62	0.00
75.1	205.37	0.00	0.00	0.00	13253.66	3.29
80.1	180.38	2.29	0.00	0.00	9244.13	2.86
85.0	159.78	1.74	0.00	0.00	6968.09	2.67
90.1	150.62	2.17	0.00	0.00	5931.71	3.15
95.2	173.62	2.13	0.00	0.00	6394.21	2.99
100.0	189.03	1.86	0.00	0.00	6320.33	2.65
105.1	213.72	14.78	0.00	0.00	6553.41	15.39
110.1	193.07	16.15	0.00	0.00	5315.14	16.85
115.1	182.34	11.69	0.00	0.00	4629.32	12.29
120.2	166.12	7.11	0.00	0.00	3962.14	7.85
125.0	148.28	5.17	0.00	0.00	3371.51	5.89
130.1	128.45	2.08	0.00	0.00	2806.44	2.85
135.1	94.82	0.44	0.00	0.00	1913.63	1.02
140.1	67.51	0.37	0.00	0.00	1250.47	1.16
145.0	25.53	0.11	0.00	0.00	569.06	0.66
150.1	0.38	0.00	0.00	0.00	49.67	0.34
155.2	-1.14	0.06	0.00	0.00	-27.66	0.25
160.1	-1.29	0.01	0.00	0.00	-1.45	0.27
165.1	-1.12	0.02	0.00	0.00	17.28	0.30
170.2	-1.07	0.04	0.00	0.00	27.55	0.30
175.0	-1.06	0.04	0.00	0.00	31.68	0.31
180.0	-1.08	0.02	0.00	0.00	32.35	0.33
185.1	-1.28	0.00	0.00	0.00	30.98	0.36
190.1	-1.40	0.00	0.00	0.00	32.30	0.38
195.1	-1.27	0.00	0.00	0.00	37.59	0.40
200.0	-1.02	0.00	0.00	0.00	43.90	0.41
205.1	-1.01	0.00	0.00	0.00	50.04	0.43
210.0	-0.86	0.00	0.00	0.00	55.60	0.45
215.1	-0.59	0.03	0.00	0.00	61.82	0.46
220.1	-0.39	0.03	0.00	0.00	68.52	0.47
225.0	-0.56	0.03	0.00	0.00	75.19	0.48
230.1	-0.49	0.03	0.00	0.00	81.78	0.49
235.1	-0.16	0.08	0.00	0.00	87.57	0.50
240.2	0.17	0.13	0.00	0.00	92.97	0.51
245.0	-0.02	0.09	0.00	0.00	98.67	0.51
250.1	0.33	0.13	0.00	0.00	103.82	0.51
255.1	0.23	0.13	0.00	0.00	108.80	0.52
260.0	0.55	0.13	0.00	0.00	114.04	0.52
265.1	0.63	0.13	0.00	0.00	118.82	0.52
270.1	0.59	0.13	0.00	0.00	122.73	0.52
275.1	0.73	0.13	0.00	0.00	127.09	0.53
280.0	0.77	0.07	0.00	0.00	132.13	0.53
285.0	0.77	0.11	0.00	0.00	136.19	0.52
290.0	0.90	0.13	0.00	0.00	140.76	0.52
295.1	0.79	0.07	0.00	0.00	144.98	0.52
300.1	0.85	0.07	0.00	0.00	148.52	0.52
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
