nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	19952386.000	0	0.000	0	1488957.125	0
1	5.1	19953094.000	0.000	0.000	0.000	1488925.750	0.000
2	10.1	19953002.000	0.000	0.000	0.000	1488874.625	0.000
3	15.1	19952788.000	0.000	0.000	0.000	1488805.500	0.000
4	20.1	19952424.000	0.000	0.000	0.000	1488748.875	0.000
5	25.1	19952152.000	0.000	0.000	0.000	1488688.500	0.000
6	30.1	19951844.000	0.000	0.000	0.000	1488639.000	0.000
7	35.1	19951622.000	0.000	0.000	0.000	1488612.125	0.000
8	40.0	19951466.000	0.000	0.000	0.000	1488602.250	0.000
9	45.1	19951086.000	0.000	0.000	0.000	1488585.625	0.000
10	50.1	19950938.000	0.000	0.000	0.000	1488552.250	0.000
11	55.2	19950648.000	0.000	0.000	0.000	1488509.750	0.000
12	60.1	19950506.000	0.000	0.000	0.000	1488464.000	0.000
13	65.2	19950330.000	0.000	0.000	0.000	1488408.125	0.000
14	70.1	19950066.000	0.000	0.000	0.000	1488345.250	0.000
15	75.1	19949786.000	0.000	0.000	0.000	1488277.250	0.000
16	80.1	19949610.000	0.000	0.000	0.000	1488207.750	0.000
17	85.0	19949370.000	0.000	0.000	0.000	1488123.875	0.000
18	90.1	19949086.000	0.000	0.000	0.000	1488044.375	0.000
19	95.2	19948788.000	0.000	0.000	0.000	1487954.500	0.000
20	100.0	19948570.000	0.000	0.000	0.000	1487864.750	0.000
21	105.1	19948404.000	0.000	0.000	0.000	1487784.000	0.000
22	110.1	19948338.000	0.000	0.000	0.000	1487687.500	0.000
23	115.1	19948172.000	0.000	0.000	0.000	1487594.625	0.000
24	120.2	19947884.000	0.000	0.000	0.000	1487490.375	0.000
25	125.0	19947744.000	0.000	0.000	0.000	1487386.625	0.000
26	130.1	19947590.000	0.000	0.000	0.000	1487271.500	0.000
27	135.1	19947448.000	0.000	0.000	0.000	1487157.875	0.000
28	140.1	19947304.000	0.000	0.000	0.000	1487030.750	0.000
29	145.0	19947106.000	0.000	0.000	0.000	1486916.250	0.000
30	150.1	19946908.000	0.000	0.000	0.000	1486788.000	0.000
31	155.2	19946708.000	0.000	0.000	0.000	1486665.000	0.000
32	160.1	19946548.000	0.000	0.000	0.000	1486563.250	0.000
33	165.1	19946266.000	0.000	0.000	0.000	1486433.125	0.000
34	170.2	19946132.000	0.000	0.000	0.000	1486309.625	0.000
35	175.0	19945912.000	0.000	0.000	0.000	1486185.500	0.000
36	180.0	19945760.000	0.000	0.000	0.000	1486060.625	0.000
37	185.1	19945576.000	0.000	0.000	0.000	1485938.750	0.000
38	190.1	19945320.000	0.000	0.000	0.000	1485816.375	0.000
39	195.1	19945120.000	0.000	0.000	0.000	1485699.250	0.000
40	200.0	19944944.000	0.000	0.000	0.000	1485566.500	0.000
41	205.1	19944632.000	0.000	0.000	0.000	1485442.875	0.000
42	210.0	19944518.000	0.000	0.000	0.000	1485320.625	0.000
43	215.1	19944376.000	0.000	0.000	0.000	1485181.125	0.000
44	220.1	19944132.000	0.000	0.000	0.000	1485055.500	0.000
45	225.0	19943858.000	0.000	0.000	0.000	1484923.625	0.000
46	230.1	19943854.000	0.000	0.000	0.000	1484791.625	0.000
47	235.1	19943564.000	0.000	0.000	0.000	1484652.750	0.000
48	240.2	19943370.000	0.000	0.000	0.000	1484523.750	0.000
49	245.0	19943250.000	0.000	0.000	0.000	1484388.375	0.000
50	250.1	19943060.000	0.000	0.000	0.000	1484259.750	0.000
51	255.1	19942904.000	0.000	0.000	0.000	1484122.500	0.000
52	260.0	19942568.000	0.000	0.000	0.000	1484001.250	0.000
53	265.1	19942384.000	0.000	0.000	0.000	1483865.875	0.000
54	270.1	19942206.000	0.000	0.000	0.000	1483728.875	0.000
55	275.1	19942084.000	0.000	0.000	0.000	1483611.500	0.000
56	280.0	19941946.000	0.000	0.000	0.000	1483487.000	0.000
57	285.0	19941876.000	0.000	0.000	0.000	1483357.250	0.000
58	290.0	19941664.000	0.000	0.000	0.000	1483232.750	0.000
59	295.1	19941514.000	0.000	0.000	0.000	1483104.875	0.000
60	300.1	19941276.000	0.000	0.000	0.000	1482971.625	0.000
