nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*50.00	-----	*0.00	-----	*24.72	-----	*19952386.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	50.00	0.00	0.00	0.00	24.72	0.00	19952386.0	0.0	1488957.1	-----
1	18	0.399	11.8	5.1	60.67	41.50	0.00	0.00	24.04	12.62	19953094.0	0.0	1488925.8	3864865275904
2	44	0.373	8.5	10.1	61.42	54.13	0.00	0.00	23.44	13.54	19953002.0	0.0	1488874.6	10515993591808
3	75	0.368	8.0	15.1	69.81	58.10	0.00	0.00	24.03	38.90	19952788.0	0.0	1488805.5	15894193373184
4	106	0.365	8.2	20.1	70.26	54.44	0.00	0.00	37.18	36.09	19952424.0	0.0	1488748.9	17252819664896
5	136	0.368	8.3	25.1	66.75	53.13	0.00	0.00	45.94	33.33	19952152.0	0.0	1488688.5	15028383121408
6	166	0.368	8.2	30.1	60.25	50.80	0.00	0.00	32.32	32.25	19951844.0	0.0	1488639.0	10539505811456
7	196	0.368	8.5	35.1	52.33	48.17	0.00	0.00	26.82	31.69	19951622.0	0.0	1488612.1	5968313188352
8	224	0.364	8.7	40.0	56.41	46.08	0.00	0.00	24.28	35.05	19951466.0	0.0	1488602.2	3092616314880
9	253	0.363	8.8	45.1	56.93	44.72	0.00	0.00	21.49	37.36	19951086.0	0.0	1488585.6	1551479209984
10	282	0.399	8.9	50.1	55.94	44.17	0.00	0.00	23.77	37.96	19950938.0	0.0	1488552.2	850976636928
11	311	0.394	9.0	55.2	55.11	43.27	0.00	0.00	24.28	36.73	19950648.0	0.0	1488509.8	515709173760
12	338	0.376	9.2	60.1	54.53	42.20	0.00	0.00	22.57	39.73	19950506.0	0.0	1488464.0	374611542016
13	366	0.368	9.3	65.2	53.91	39.75	0.00	0.00	21.68	36.13	19950330.0	0.0	1488408.1	312002117632
14	394	0.392	9.1	70.1	53.41	36.16	0.00	0.00	21.27	34.01	19950066.0	0.0	1488345.2	258890366976
15	423	0.392	8.5	75.1	53.14	35.08	0.00	0.00	20.86	33.95	19949786.0	0.0	1488277.2	208469803008
16	452	0.369	8.4	80.1	52.81	27.36	0.00	0.00	20.52	31.34	19949610.0	0.0	1488207.8	173447626752
17	481	0.374	8.4	85.0	52.54	27.94	0.00	0.00	20.24	28.00	19949370.0	0.0	1488123.9	157662937088
18	511	0.375	8.4	90.1	52.41	28.02	0.00	0.00	19.96	26.93	19949086.0	0.0	1488044.4	143006007296
19	539	0.374	9.6	95.2	52.97	29.02	0.00	0.00	19.84	24.25	19948788.0	0.0	1487954.5	125044465664
20	566	0.363	9.7	100.0	53.28	27.05	0.00	0.00	19.63	23.23	19948570.0	0.0	1487864.8	107081326592
21	593	0.371	9.7	105.1	53.84	34.70	0.00	0.00	19.54	22.02	19948404.0	0.0	1487784.0	93562093568
22	620	0.386	9.7	110.1	54.02	34.46	0.00	0.00	19.37	20.81	19948338.0	0.0	1487687.5	80621707264
23	646	0.364	9.5	115.1	54.30	35.01	0.00	0.00	19.27	19.82	19948172.0	0.0	1487594.6	72118321152
24	672	0.365	9.8	120.2	55.01	36.52	0.00	0.00	19.17	18.66	19947884.0	0.0	1487490.4	66236641280
25	697	0.367	9.7	125.0	55.14	35.82	0.00	0.00	19.06	17.54	19947744.0	0.0	1487386.6	59988156416
26	723	0.375	9.9	130.1	55.30	29.68	0.00	0.00	18.95	16.38	19947590.0	0.0	1487271.5	53834928128
27	749	0.376	9.9	135.1	55.67	29.61	0.00	0.00	18.82	15.10	19947448.0	0.0	1487157.9	48880664576
28	775	0.379	10.0	140.1	55.54	29.73	0.00	0.00	18.70	14.75	19947304.0	0.0	1487030.8	45309276160
29	801	0.389	10.1	145.0	55.82	29.75	0.00	0.00	18.56	14.80	19947106.0	0.0	1486916.2	42504851456
30	828	0.391	9.9	150.1	55.74	28.11	0.00	0.00	18.46	14.78	19946908.0	0.0	1486788.0	40000864256
31	855	0.368	9.5	155.2	55.89	28.91	0.00	0.00	18.34	14.79	19946708.0	0.0	1486665.0	37901758464
32	881	0.369	9.2	160.1	56.08	28.43	0.00	0.00	18.25	14.71	19946548.0	0.0	1486563.2	35947548672
33	908	0.375	9.2	165.1	56.16	28.65	0.00	0.00	18.15	14.79	19946266.0	0.0	1486433.1	34657263616
34	935	0.377	9.1	170.2	56.24	28.89	0.00	0.00	18.05	14.81	19946132.0	0.0	1486309.6	33501448192
35	961	0.387	9.0	175.0	56.43	28.56	0.00	0.00	17.97	14.82	19945912.0	0.0	1486185.5	32405551104
36	988	0.384	9.1	180.0	56.58	28.04	0.00	0.00	17.88	14.73	19945760.0	0.0	1486060.6	31604727808
37	1015	0.376	9.2	185.1	56.51	27.99	0.00	0.00	17.80	14.75	19945576.0	0.0	1485938.8	30965200896
38	1042	0.371	9.2	190.1	56.62	27.79	0.00	0.00	17.71	14.83	19945320.0	0.0	1485816.4	30403397632
39	1069	0.367	9.2	195.1	56.70	27.56	0.00	0.00	17.62	14.84	19945120.0	0.0	1485699.2	29884659712
40	1096	0.366	9.2	200.0	56.50	27.04	0.00	0.00	17.52	14.72	19944944.0	0.0	1485566.5	29506887680
41	1124	0.371	9.2	205.1	56.68	26.71	0.00	0.00	17.41	14.76	19944632.0	0.0	1485442.9	29423065088
42	1151	0.373	9.2	210.0	56.67	26.55	0.00	0.00	17.33	14.72	19944518.0	0.0	1485320.6	29171099648
43	1179	0.375	9.2	215.1	56.73	26.31	0.00	0.00	17.24	14.68	19944376.0	0.0	1485181.1	28883722240
44	1207	0.379	9.3	220.1	56.94	26.21	0.00	0.00	17.17	14.88	19944132.0	0.0	1485055.5	28685242368
45	1234	0.385	9.3	225.0	56.77	23.94	0.00	0.00	17.08	14.89	19943858.0	0.0	1484923.6	28479584256
46	1262	0.388	9.3	230.1	56.92	23.97	0.00	0.00	17.01	14.86	19943854.0	0.0	1484791.6	28338452480
47	1290	0.389	9.3	235.1	57.05	24.03	0.00	0.00	16.93	14.82	19943564.0	0.0	1484652.8	28063784960
48	1318	0.386	9.3	240.2	57.22	24.10	0.00	0.00	16.87	14.77	19943370.0	0.0	1484523.8	27916011520
49	1345	0.382	9.3	245.0	57.08	24.05	0.00	0.00	16.80	14.68	19943250.0	0.0	1484388.4	27609851904
50	1373	0.379	9.3	250.1	57.46	24.07	0.00	0.00	16.75	14.66	19943060.0	0.0	1484259.8	27407484928
51	1400	0.375	9.3	255.1	57.55	24.01	0.00	0.00	16.69	14.61	19942904.0	0.0	1484122.5	27161917440
52	1427	0.373	9.3	260.0	57.65	24.04	0.00	0.00	16.63	14.62	19942568.0	0.0	1484001.2	26968174592
53	1455	0.373	9.3	265.1	57.65	23.93	0.00	0.00	16.57	14.54	19942384.0	0.0	1483865.9	26643355648
54	1482	0.368	9.2	270.1	57.68	23.94	0.00	0.00	16.51	14.47	19942206.0	0.0	1483728.9	26505660416
55	1509	0.365	9.3	275.1	57.70	24.01	0.00	0.00	16.44	14.46	19942084.0	0.0	1483611.5	26395707392
56	1536	0.364	9.2	280.0	57.87	23.73	0.00	0.00	16.38	14.31	19941946.0	0.0	1483487.0	26052620288
57	1563	0.367	9.2	285.0	57.98	23.60	0.00	0.00	16.31	14.27	19941876.0	0.0	1483357.2	25914570752
58	1590	0.367	9.2	290.0	57.93	23.55	0.00	0.00	16.26	14.28	19941664.0	0.0	1483232.8	25884846080
59	1617	0.365	9.2	295.1	57.75	23.36	0.00	0.00	16.20	14.30	19941514.0	0.0	1483104.9	25725339648
60	1644	0.379	9.2	300.1	58.23	23.12	0.00	0.00	16.15	14.31	19941276.0	0.0	1482971.6	25517035520
