T	Q1	V1	Q2	V2	Q3	V3
5.1	0.00	0.00	0.00	0.00	0.04	0.00
10.1	0.00	0.00	0.00	0.00	0.26	0.08
15.1	0.00	0.00	0.00	0.00	0.72	0.38
20.1	0.00	0.00	0.00	0.00	2.63	0.84
25.1	544.60	0.00	0.00	0.00	9.30	1.41
30.1	1192.81	0.00	0.00	0.00	18.60	1.99
35.1	395.25	5.18	0.00	0.00	185.54	5.71
40.0	316.66	12.57	0.00	0.00	29906.07	13.57
45.1	711.16	12.49	0.00	0.00	38011.67	13.40
50.1	895.65	17.74	0.00	0.00	27452.94	18.53
55.2	718.26	14.21	0.00	0.00	14171.37	14.91
60.1	544.75	10.78	0.00	0.00	7319.57	11.46
65.2	537.20	7.45	0.00	0.00	4566.57	8.21
70.1	537.31	5.32	0.00	0.00	3404.37	5.97
75.1	490.39	3.91	0.00	0.00	2674.25	4.60
80.1	436.12	2.87	0.00	0.00	2126.17	3.55
85.0	386.47	2.34	0.00	0.00	1747.95	3.03
90.1	361.51	2.07	0.00	0.00	1521.55	2.76
95.2	345.57	1.91	0.00	0.00	1378.41	2.59
100.0	334.11	1.78	0.00	0.00	1264.69	2.46
105.1	322.86	1.63	0.00	0.00	1164.20	2.32
110.1	309.04	1.53	0.00	0.00	1085.90	2.20
115.1	302.21	1.43	0.00	0.00	1022.27	2.10
120.2	293.38	1.34	0.00	0.00	971.78	2.01
125.0	287.40	1.28	0.00	0.00	931.39	1.94
130.1	281.40	1.22	0.00	0.00	896.73	1.88
135.1	275.97	1.17	0.00	0.00	867.71	1.83
140.1	271.97	1.13	0.00	0.00	842.86	1.79
145.0	269.61	1.09	0.00	0.00	820.63	1.76
150.1	266.40	1.06	0.00	0.00	797.43	1.72
155.2	259.54	1.02	0.00	0.00	776.74	1.67
160.1	256.44	0.98	0.00	0.00	757.68	1.63
165.1	254.20	0.93	0.00	0.00	737.59	1.59
170.2	253.01	0.89	0.00	0.00	719.40	1.54
175.0	250.58	0.86	0.00	0.00	701.66	1.50
180.0	249.64	0.81	0.00	0.00	684.74	1.46
185.1	249.19	0.78	0.00	0.00	668.17	1.43
190.1	249.22	0.74	0.00	0.00	651.76	1.39
195.1	250.17	0.70	0.00	0.00	636.69	1.35
200.0	251.51	0.67	0.00	0.00	623.52	1.32
205.1	253.07	0.64	0.00	0.00	610.32	1.29
210.0	251.70	0.61	0.00	0.00	599.01	1.26
215.1	250.96	0.58	0.00	0.00	588.18	1.22
220.1	250.32	0.55	0.00	0.00	577.98	1.19
225.0	250.12	0.52	0.00	0.00	567.57	1.16
230.1	249.62	0.50	0.00	0.00	557.42	1.13
235.1	249.51	0.48	0.00	0.00	547.67	1.10
240.2	247.91	0.45	0.00	0.00	538.38	1.08
245.0	246.44	0.42	0.00	0.00	529.50	1.05
250.1	244.75	0.39	0.00	0.00	520.29	1.02
255.1	242.98	0.36	0.00	0.00	511.89	0.99
260.0	242.34	0.35	0.00	0.00	504.99	0.96
265.1	240.31	0.33	0.00	0.00	497.18	0.94
270.1	239.48	0.30	0.00	0.00	490.86	0.92
275.1	239.20	0.28	0.00	0.00	485.02	0.89
280.0	238.53	0.27	0.00	0.00	480.19	0.87
285.0	237.33	0.25	0.00	0.00	474.88	0.86
290.0	237.12	0.25	0.00	0.00	470.85	0.84
295.1	235.66	0.23	0.00	0.00	466.55	0.82
300.1	235.48	0.21	0.00	0.00	461.96	0.81
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
