T	Q1	V1	Q2	V2	Q3	V3
5.1	0.00	0.00	0.00	0.00	0.03	0.00
10.0	0.00	0.00	0.00	0.00	0.27	0.07
15.1	0.00	0.00	0.00	0.00	0.64	0.29
20.1	0.00	0.00	0.00	0.00	2.11	0.70
25.1	0.00	0.00	0.00	0.00	5.78	1.27
30.1	0.00	0.00	0.00	0.00	14.33	1.89
35.0	0.00	0.00	0.00	0.00	28.18	2.47
40.0	0.00	0.00	0.00	0.00	43.53	2.85
45.1	0.00	0.00	0.00	0.00	52.14	3.05
50.1	0.01	0.00	0.00	0.00	253.56	4.45
55.1	0.07	0.00	0.00	0.00	1755.09	9.92
60.2	0.28	0.00	0.00	0.00	2440.34	9.61
65.0	0.71	0.00	0.00	0.00	2409.06	9.62
70.1	1.00	0.00	0.00	0.00	2000.22	8.66
75.0	1.39	0.00	0.00	0.00	1360.39	7.45
80.1	2.27	0.00	0.00	0.00	1695.38	8.14
85.1	4.27	0.00	0.00	0.00	2210.04	8.88
90.0	6.15	0.00	0.00	0.00	2139.01	8.62
95.0	9.16	0.00	0.00	0.00	1804.79	7.95
100.0	11.53	0.00	0.00	0.00	1423.87	7.34
105.1	12.91	0.00	0.00	0.00	1092.64	6.80
110.0	14.76	0.01	0.00	0.00	866.84	6.32
115.1	16.18	0.00	0.00	0.00	733.95	5.96
120.0	17.24	0.17	0.00	0.00	653.64	5.68
125.1	18.68	1.51	0.00	0.00	599.13	5.45
130.0	20.75	2.91	0.00	0.00	560.85	5.27
135.0	23.33	3.47	0.00	0.00	538.97	5.17
140.1	26.70	3.68	0.00	0.00	523.87	5.12
145.0	26.56	4.02	0.00	0.00	530.90	5.32
150.0	25.72	4.17	0.00	0.00	502.44	5.32
155.1	26.66	4.24	0.00	0.00	460.47	5.31
160.0	27.45	4.13	0.00	0.00	412.41	5.14
165.1	30.21	3.94	0.00	0.00	374.75	4.91
170.0	32.48	3.82	0.00	0.00	361.07	4.77
175.1	33.15	3.77	0.00	0.00	360.53	4.71
180.0	33.54	3.75	0.00	0.00	361.38	4.67
185.1	34.37	3.73	0.00	0.00	359.59	4.64
190.1	35.33	3.71	0.00	0.00	354.49	4.60
195.0	35.77	3.70	0.00	0.00	349.02	4.57
200.1	35.84	3.66	0.00	0.00	341.08	4.51
205.1	36.33	3.61	0.00	0.00	332.82	4.46
210.1	36.55	3.58	0.00	0.00	325.56	4.41
215.1	36.69	3.54	0.00	0.00	318.58	4.36
220.1	36.78	3.50	0.00	0.00	312.04	4.31
225.1	36.89	3.46	0.00	0.00	305.40	4.26
230.1	37.14	3.40	0.00	0.00	298.55	4.20
235.1	37.60	3.34	0.00	0.00	292.43	4.13
240.0	37.93	3.30	0.00	0.00	288.46	4.08
245.0	38.01	3.25	0.00	0.00	285.23	4.03
250.1	38.01	3.21	0.00	0.00	282.44	3.99
255.1	37.99	3.18	0.00	0.00	280.03	3.95
260.0	37.74	3.16	0.00	0.00	278.01	3.93
265.1	37.35	3.14	0.00	0.00	274.76	3.90
270.0	37.17	3.10	0.00	0.00	270.11	3.86
275.1	37.26	3.05	0.00	0.00	265.07	3.81
280.1	37.30	3.01	0.00	0.00	261.24	3.76
285.1	37.18	2.97	0.00	0.00	258.88	3.72
290.0	36.79	2.95	0.00	0.00	257.34	3.70
295.0	36.43	2.92	0.00	0.00	255.28	3.67
300.1	36.09	2.89	0.00	0.00	252.55	3.64
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
