nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	990625.000	0	0.000	0	1488957.125	0
1	5.1	990601.938	0.000	0.000	0.000	1488931.000	0.000
2	10.0	990546.312	0.000	0.000	0.000	1488889.125	0.000
3	15.1	990468.688	0.000	0.000	0.000	1488814.500	0.000
4	20.1	990412.625	0.000	0.000	0.000	1488741.375	0.000
5	25.1	990351.938	0.000	0.000	0.000	1488650.000	0.000
6	30.1	990287.500	0.000	0.000	0.000	1488566.875	0.000
7	35.0	990193.500	0.000	0.000	0.000	1488510.500	0.000
8	40.0	990086.250	0.000	0.000	0.000	1488470.125	0.000
9	45.1	990004.438	0.000	0.000	0.000	1488439.625	0.000
10	50.1	989928.000	0.000	0.000	0.000	1488408.625	0.000
11	55.1	989854.125	0.000	0.000	0.000	1488379.125	0.000
12	60.2	989767.000	0.000	0.000	0.000	1488350.125	0.000
13	65.0	989690.875	0.000	0.000	0.000	1488324.250	0.000
14	70.1	989612.062	0.000	0.000	0.000	1488294.375	0.000
15	75.0	989529.938	0.000	0.000	0.000	1488261.500	0.000
16	80.1	989448.688	0.000	0.000	0.000	1488220.500	0.000
17	85.1	989363.750	0.000	0.000	0.000	1488177.500	0.000
18	90.0	989249.250	0.000	0.000	0.000	1488106.625	0.000
19	95.0	989103.938	0.000	0.000	0.000	1488014.250	0.000
20	100.0	988938.875	0.000	0.000	0.000	1487885.250	0.000
21	105.1	988775.500	0.000	0.000	0.000	1487728.875	0.000
22	110.0	988590.000	0.000	0.000	0.000	1487585.750	0.000
23	115.1	988402.000	0.000	0.000	0.000	1487428.000	0.000
24	120.0	988221.938	0.000	0.000	0.000	1487260.250	0.000
25	125.1	988024.000	0.000	0.000	0.000	1487084.500	0.000
26	130.0	987822.562	0.000	0.000	0.000	1486902.500	0.000
27	135.0	987613.688	0.000	0.000	0.000	1486735.500	0.000
28	140.1	987387.750	0.000	0.000	0.000	1486562.750	0.000
29	145.0	987225.188	0.000	0.000	0.000	1486452.750	0.000
30	150.0	987054.938	0.000	0.000	0.000	1486343.250	0.000
31	155.1	986869.188	0.000	0.000	0.000	1486249.250	0.000
32	160.0	986753.750	0.000	0.000	0.000	1486141.000	0.000
33	165.1	986620.438	0.000	0.000	0.000	1486021.375	0.000
34	170.0	986499.812	0.000	0.000	0.000	1485913.125	0.000
35	175.1	986391.938	0.000	0.000	0.000	1485809.375	0.000
36	180.0	986284.000	0.000	0.000	0.000	1485697.875	0.000
37	185.1	986168.938	0.000	0.000	0.000	1485585.125	0.000
38	190.1	986053.688	0.000	0.000	0.000	1485473.625	0.000
39	195.0	985947.938	0.000	0.000	0.000	1485366.375	0.000
40	200.1	985835.625	0.000	0.000	0.000	1485256.250	0.000
41	205.1	985725.375	0.000	0.000	0.000	1485145.000	0.000
42	210.1	985622.188	0.000	0.000	0.000	1485040.875	0.000
43	215.1	985522.688	0.000	0.000	0.000	1484931.875	0.000
44	220.1	985425.812	0.000	0.000	0.000	1484821.125	0.000
45	225.1	985328.188	0.000	0.000	0.000	1484711.375	0.000
46	230.1	985239.750	0.000	0.000	0.000	1484592.000	0.000
47	235.1	985144.750	0.000	0.000	0.000	1484468.375	0.000
48	240.0	985047.625	0.000	0.000	0.000	1484348.750	0.000
49	245.0	984954.438	0.000	0.000	0.000	1484224.500	0.000
50	250.1	984856.812	0.000	0.000	0.000	1484095.625	0.000
51	255.1	984765.562	0.000	0.000	0.000	1483961.875	0.000
52	260.0	984673.500	0.000	0.000	0.000	1483827.500	0.000
53	265.1	984583.062	0.000	0.000	0.000	1483695.750	0.000
54	270.0	984495.625	0.000	0.000	0.000	1483561.875	0.000
55	275.1	984402.875	0.000	0.000	0.000	1483417.375	0.000
56	280.1	984316.562	0.000	0.000	0.000	1483275.125	0.000
57	285.1	984227.562	0.000	0.000	0.000	1483123.375	0.000
58	290.0	984141.375	0.000	0.000	0.000	1482977.875	0.000
59	295.0	984056.688	0.000	0.000	0.000	1482826.375	0.000
60	300.1	983974.312	0.000	0.000	0.000	1482665.375	0.000
