T	Q1	V1	Q2	V2	Q3	V3
120.0	0.00	0.00	0.00	0.00	24.33	0.28
125.1	0.00	0.00	0.00	0.00	530.30	5.49
130.0	0.00	0.00	0.00	0.00	1164.36	7.82
135.0	0.00	0.00	0.00	0.00	1696.67	8.61
140.1	0.00	0.00	0.00	0.00	2001.97	7.96
145.0	0.00	0.00	0.00	0.00	1786.55	6.94
150.0	0.00	0.00	0.00	0.00	1512.35	6.70
155.1	0.00	0.00	0.00	0.00	1359.38	7.04
160.0	0.00	0.00	0.00	0.00	1245.08	7.75
165.1	0.00	0.00	0.00	0.00	1094.13	7.69
170.0	0.00	0.00	0.00	0.00	1000.01	7.04
175.1	0.00	0.00	0.00	0.00	910.95	5.87
180.0	0.00	0.00	0.00	0.00	819.57	4.48
185.1	0.00	0.00	0.00	0.00	744.45	3.29
190.1	0.00	0.00	0.00	0.00	679.90	2.56
195.0	0.00	0.00	0.00	0.00	622.62	2.17
200.1	0.00	0.00	0.00	0.00	571.79	1.97
205.1	0.00	0.00	0.00	0.00	538.34	1.87
210.1	0.00	0.00	0.00	0.00	511.74	1.77
215.1	0.00	0.00	0.00	0.00	481.58	1.64
220.1	0.00	0.00	0.00	0.00	438.59	1.47
225.1	0.00	0.00	0.00	0.00	377.15	1.30
230.1	0.00	0.00	0.00	0.00	301.35	1.23
235.1	0.00	0.00	0.00	0.00	224.95	1.26
240.0	0.00	0.00	0.00	0.00	164.55	1.33
245.0	0.00	0.00	0.00	0.00	127.06	1.37
250.1	0.00	0.00	0.00	0.00	117.92	1.37
255.1	0.00	0.00	0.00	0.00	135.84	1.33
260.0	0.00	0.00	0.00	0.00	172.43	1.26
265.1	0.00	0.00	0.00	0.00	217.62	1.20
270.0	0.00	0.00	0.00	0.00	257.66	1.18
275.1	0.00	0.00	0.00	0.00	288.61	1.22
280.1	0.00	0.00	0.00	0.00	305.30	1.27
285.1	0.00	0.00	0.00	0.00	308.80	1.31
290.0	0.00	0.00	0.00	0.00	303.22	1.32
295.0	0.00	0.00	0.00	0.00	292.41	1.31
300.1	0.00	0.08	0.00	0.00	282.28	1.31
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
