nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*10.00	-----	*0.00	-----	*24.72	-----	*990625.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	10.00	0.00	0.00	0.00	24.72	0.00	990625.0	0.0	1488957.1	-----
1	16	0.396	8.0	5.1	18.61	29.42	0.00	0.00	24.04	12.14	990601.9	0.0	1488931.0	215135797248
2	39	0.395	10.4	10.0	17.45	39.56	0.00	0.00	23.49	12.98	990546.3	0.0	1488889.1	551271530496
3	68	0.368	8.2	15.1	13.21	52.19	0.00	0.00	24.08	13.95	990468.7	0.0	1488814.5	999432323072
4	98	0.365	8.2	20.1	10.16	52.45	0.00	0.00	24.27	14.14	990412.6	0.0	1488741.4	1407745261568
5	129	0.363	8.0	25.1	8.00	52.58	0.00	0.00	24.04	35.27	990351.9	0.0	1488650.0	1663045861376
6	160	0.362	8.3	30.1	7.40	51.31	0.00	0.00	29.27	32.27	990287.5	0.0	1488566.9	1473275887616
7	189	0.362	8.6	35.0	7.52	50.39	0.00	0.00	29.46	26.26	990193.5	0.0	1488510.5	1077747449856
8	218	0.363	8.8	40.0	11.64	49.88	0.00	0.00	25.16	21.33	990086.2	0.0	1488470.1	701668524032
9	247	0.363	8.9	45.1	14.41	49.58	0.00	0.00	23.75	18.19	990004.4	0.0	1488439.6	437509226496
10	275	0.361	8.9	50.1	15.33	49.27	0.00	0.00	23.71	16.85	989928.0	0.0	1488408.6	269796753408
11	303	0.361	9.0	55.1	13.65	49.13	0.00	0.00	24.36	14.73	989854.1	0.0	1488379.1	169881272320
12	331	0.361	9.0	60.2	12.24	49.09	0.00	0.00	28.54	14.83	989767.0	0.0	1488350.1	110384357376
13	358	0.361	9.0	65.0	11.35	48.92	0.00	0.00	27.11	14.56	989690.9	0.0	1488324.2	77108191232
14	386	0.361	9.0	70.1	10.68	45.99	0.00	0.00	24.98	14.06	989612.1	0.0	1488294.4	57434796032
15	413	0.361	9.0	75.0	10.22	45.63	0.00	0.00	24.35	15.31	989529.9	0.0	1488261.5	45628575744
16	441	0.361	9.1	80.1	9.85	44.41	0.00	0.00	24.59	16.10	989448.7	0.0	1488220.5	37297377280
17	469	0.395	7.8	85.1	9.58	43.47	0.00	0.00	24.33	17.20	989363.8	0.0	1488177.5	31255078912
18	508	0.399	7.7	90.0	9.34	37.67	0.00	0.00	23.66	17.21	989249.2	0.0	1488106.6	26940694528
19	552	0.398	4.8	95.0	9.21	31.69	0.00	0.00	23.31	16.28	989103.9	0.0	1488014.2	23868774400
20	601	0.399	7.4	100.0	9.23	29.63	0.00	0.00	23.05	15.68	988938.9	0.0	1487885.2	21389930496
21	652	0.399	3.5	105.1	9.30	28.78	0.00	0.00	22.83	16.05	988775.5	0.0	1487728.9	19867340800
22	706	0.399	4.3	110.0	9.35	25.78	0.00	0.00	22.71	16.73	988590.0	0.0	1487585.8	19766398976
23	762	0.399	3.8	115.1	9.40	23.63	0.00	0.00	22.58	16.64	988402.0	0.0	1487428.0	18781603840
24	820	0.399	3.2	120.0	9.80	15.96	0.00	0.00	22.34	15.91	988221.9	0.0	1487260.2	17462769664
25	879	0.398	3.3	125.1	10.04	16.22	0.00	0.00	22.15	16.09	988024.0	0.0	1487084.5	16519206912
26	937	0.399	3.1	130.0	10.20	14.22	0.00	0.00	22.07	17.22	987822.6	0.0	1486902.5	15665694720
27	991	0.398	3.5	135.0	10.40	14.56	0.00	0.00	22.21	17.16	987613.7	0.0	1486735.5	14680993792
28	1044	0.397	6.0	140.1	10.63	16.52	0.00	0.00	22.46	16.13	987387.8	0.0	1486562.8	13825067008
29	1080	0.383	6.7	145.0	11.10	14.90	0.00	0.00	23.00	15.30	987225.2	0.0	1486452.8	10966297600
30	1118	0.375	6.7	150.0	10.70	14.81	0.00	0.00	22.95	14.77	987054.9	0.0	1486343.2	9165729792
31	1153	0.376	7.5	155.1	10.72	15.02	0.00	0.00	22.87	14.71	986869.2	0.0	1486249.2	8375718912
32	1192	0.381	6.0	160.0	10.45	14.17	0.00	0.00	22.57	14.76	986753.8	0.0	1486141.0	7956193280
33	1236	0.366	5.8	165.1	10.33	14.77	0.00	0.00	22.34	15.27	986620.4	0.0	1486021.4	8167001088
34	1278	0.370	6.0	170.0	10.46	15.10	0.00	0.00	22.37	15.17	986499.8	0.0	1485913.1	8049260544
35	1320	0.378	6.0	175.1	10.47	14.90	0.00	0.00	22.42	14.84	986391.9	0.0	1485809.4	7527499776
36	1362	0.364	5.9	180.0	10.35	14.92	0.00	0.00	22.37	14.92	986284.0	0.0	1485697.9	7170637824
37	1405	0.377	6.1	185.1	10.27	14.99	0.00	0.00	22.31	15.02	986168.9	0.0	1485585.1	6973091840
38	1448	0.379	5.9	190.1	10.22	15.10	0.00	0.00	22.28	15.09	986053.7	0.0	1485473.6	6837819392
39	1489	0.375	6.1	195.0	10.22	15.04	0.00	0.00	22.31	14.93	985947.9	0.0	1485366.4	6610787840
40	1531	0.375	5.9	200.1	10.13	14.96	0.00	0.00	22.28	14.84	985835.6	0.0	1485256.2	6391000064
41	1572	0.375	6.1	205.1	10.09	15.20	0.00	0.00	22.26	14.96	985725.4	0.0	1485145.0	6344489472
42	1613	0.378	6.0	210.1	10.07	15.11	0.00	0.00	22.26	14.83	985622.2	0.0	1485040.9	6187742720
43	1653	0.377	6.1	215.1	10.01	15.17	0.00	0.00	22.25	14.87	985522.7	0.0	1484931.9	6067760640
44	1693	0.375	6.1	220.1	9.97	15.13	0.00	0.00	22.23	14.79	985425.8	0.0	1484821.1	5953617408
45	1733	0.373	6.1	225.1	9.91	15.06	0.00	0.00	22.19	14.79	985328.2	0.0	1484711.4	5894151680
