T	Q1	V1	Q2	V2	Q3	V3
5.1	0.00	0.00	0.00	0.00	0.03	0.00
10.1	0.00	0.00	0.00	0.00	0.32	0.09
15.2	0.00	0.00	0.00	0.00	0.86	0.29
20.1	0.00	0.00	0.00	0.00	2.09	0.65
25.0	0.00	0.00	0.00	0.00	5.84	1.23
30.1	0.00	0.00	0.00	0.00	14.08	1.87
35.1	0.00	0.00	0.00	0.00	28.80	2.51
40.0	0.00	0.00	0.00	0.00	44.73	2.90
45.1	0.00	0.00	0.00	0.00	54.44	3.09
50.1	0.00	0.00	0.00	0.00	57.46	3.17
55.1	0.00	0.00	0.00	0.00	118.85	3.75
60.0	0.00	0.00	0.00	0.00	603.10	7.00
65.2	0.00	0.00	0.00	0.00	1080.09	8.10
70.0	0.00	0.00	0.00	0.00	1345.59	8.35
75.1	0.00	0.00	0.00	0.00	1386.01	8.22
80.1	0.01	0.00	0.00	0.00	1028.80	7.64
85.0	0.05	0.00	0.00	0.00	765.28	6.91
90.0	0.11	0.00	0.00	0.00	697.26	6.73
95.0	0.19	0.00	0.00	0.00	726.69	6.52
100.0	0.28	0.00	0.00	0.00	715.44	6.42
105.1	0.41	0.00	0.00	0.00	625.43	6.41
110.1	0.64	0.00	0.00	0.00	494.31	6.13
115.1	0.85	0.00	0.00	0.00	382.02	5.71
120.1	1.04	0.00	0.00	0.00	309.74	5.31
125.1	1.23	0.00	0.00	0.00	276.90	5.03
130.1	1.38	0.00	0.00	0.00	269.32	4.91
135.0	1.49	0.00	0.00	0.00	275.35	4.89
140.1	1.58	0.00	0.00	0.00	284.82	4.93
145.1	1.69	0.00	0.00	0.00	290.13	4.97
150.0	1.83	0.00	0.00	0.00	288.35	4.97
155.1	1.99	0.00	0.00	0.00	279.59	4.92
160.0	2.17	0.00	0.00	0.00	267.25	4.85
165.1	2.33	0.00	0.00	0.00	253.37	4.76
170.0	2.49	0.00	0.00	0.00	240.17	4.68
175.0	2.67	0.00	0.00	0.00	228.15	4.59
180.0	2.82	0.00	0.00	0.00	218.86	4.52
185.1	2.99	0.00	0.00	0.00	211.02	4.44
190.1	3.16	0.00	0.00	0.00	205.76	4.38
195.1	3.34	0.12	0.00	0.00	200.35	4.30
200.1	3.59	0.42	0.00	0.00	196.45	4.23
205.0	3.88	0.89	0.00	0.00	200.15	4.28
210.1	3.96	1.63	0.00	0.00	203.51	4.35
215.0	4.06	2.10	0.00	0.00	196.20	4.33
220.1	4.23	2.30	0.00	0.00	186.36	4.27
225.1	4.33	2.37	0.00	0.00	178.72	4.21
230.0	4.36	2.39	0.00	0.00	173.85	4.15
235.0	4.36	2.41	0.00	0.00	171.42	4.11
240.0	4.37	2.42	0.00	0.00	171.12	4.10
245.0	4.37	2.46	0.00	0.00	171.62	4.11
250.0	4.39	2.48	0.00	0.00	170.24	4.10
255.1	4.39	2.49	0.00	0.00	167.66	4.07
260.0	4.38	2.50	0.00	0.00	165.61	4.05
265.1	4.37	2.50	0.00	0.00	163.55	4.02
270.1	4.36	2.50	0.00	0.00	162.47	4.01
275.0	4.33	2.52	0.00	0.00	161.08	4.00
280.1	4.32	2.53	0.00	0.00	159.54	3.99
285.1	4.31	2.54	0.00	0.00	157.94	3.98
290.0	4.29	2.56	0.00	0.00	156.05	3.96
295.0	4.27	2.56	0.00	0.00	154.52	3.94
300.1	4.25	2.58	0.00	0.00	152.84	3.93
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
