T	Q1	V1	Q2	V2	Q3	V3
140.1	0.00	0.00	0.00	0.00	10.83	0.42
145.1	0.00	0.00	0.00	0.00	273.44	4.40
150.0	0.00	0.00	0.00	0.00	520.69	5.95
155.1	0.00	0.00	0.00	0.00	543.95	5.69
160.0	0.00	0.00	0.00	0.00	524.80	4.88
165.1	0.00	0.00	0.00	0.00	518.02	4.41
170.0	0.00	0.00	0.00	0.00	513.90	4.10
175.0	0.00	0.00	0.00	0.00	501.15	3.80
180.0	0.00	0.00	0.00	0.00	473.16	3.43
185.1	0.00	0.00	0.00	0.00	428.32	3.02
190.1	0.00	0.00	0.00	0.00	376.88	2.68
195.1	0.00	0.00	0.00	0.00	323.86	2.43
200.1	0.00	0.00	0.00	0.00	280.72	2.28
205.0	0.00	0.00	0.00	0.00	250.61	2.19
210.1	0.00	0.00	0.00	0.00	225.57	1.95
215.0	0.00	0.00	0.00	0.00	209.16	1.77
220.1	0.00	0.00	0.00	0.00	209.17	1.71
225.1	0.00	0.00	0.00	0.00	219.57	1.70
230.0	0.00	0.00	0.00	0.00	233.68	1.70
235.0	0.00	0.00	0.00	0.00	245.02	1.72
240.0	0.00	0.00	0.00	0.00	249.60	1.76
245.0	0.00	0.00	0.00	0.00	247.67	1.80
250.0	0.00	0.00	0.00	0.00	241.14	1.83
255.1	0.00	0.00	0.00	0.00	231.99	1.84
260.0	0.00	0.00	0.00	0.00	221.81	1.85
265.1	0.00	0.00	0.00	0.00	211.14	1.82
270.1	0.00	0.00	0.00	0.00	202.17	1.78
275.0	0.00	0.00	0.00	0.00	194.39	1.74
280.1	0.00	0.00	0.00	0.00	188.95	1.70
285.1	0.00	0.00	0.00	0.00	185.58	1.68
290.0	0.00	0.00	0.00	0.00	184.47	1.66
295.0	0.00	0.00	0.00	0.00	184.17	1.66
300.1	0.00	0.00	0.00	0.00	183.37	1.66
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
