T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
10.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.00	0.32
15.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.29	0.00	0.86
20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.65	0.00	2.09
25.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	1.23	0.00	5.84
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	1.87	0.00	14.08
35.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	2.51	0.00	28.80
40.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	2.90	0.00	44.73
45.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	3.09	0.00	54.44
50.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	3.17	0.00	57.46
55.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.36	3.75	0.00	118.85
60.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	7.00	0.00	603.10
65.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.53	8.10	0.00	1080.09
70.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.97	8.35	0.00	1345.59
75.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79	8.22	0.00	1386.01
80.1	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	1.40	7.64	0.00	1028.80
85.0	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	1.37	6.91	0.00	765.28
90.0	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	1.41	6.73	0.00	697.26
95.0	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	1.43	6.52	0.00	726.69
100.0	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	1.40	6.42	0.00	715.44
105.1	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	1.26	6.41	0.00	625.43
110.1	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	1.04	6.13	0.00	494.31
115.1	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00	0.84	5.71	0.00	382.02
120.1	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.73	5.31	0.00	309.74
125.1	0.00	0.00	0.00	1.23	0.00	0.00	0.00	0.00	0.72	5.03	0.00	276.90
130.1	0.00	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.72	4.91	0.00	269.32
135.0	0.00	0.00	0.00	1.49	0.00	0.00	0.00	0.00	0.72	4.89	0.00	275.35
140.1	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.73	4.93	0.00	284.82
145.1	0.00	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.74	4.97	0.00	290.13
150.0	0.00	0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.74	4.97	0.00	288.35
155.1	0.00	0.00	0.00	1.99	0.00	0.00	0.00	0.00	0.73	4.92	0.00	279.59
160.0	0.00	0.00	0.00	2.17	0.00	0.00	0.00	0.00	0.71	4.85	0.00	267.25
165.1	0.00	0.00	0.00	2.33	0.00	0.00	0.00	0.00	0.69	4.76	0.00	253.37
170.0	0.00	0.00	0.00	2.49	0.00	0.00	0.00	0.00	0.66	4.68	0.00	240.17
175.0	0.00	0.00	0.00	2.67	0.00	0.00	0.00	0.00	0.64	4.59	0.00	228.15
180.0	0.00	0.00	0.00	2.82	0.00	0.00	0.00	0.00	0.63	4.52	0.00	218.86
185.1	0.00	0.00	0.00	2.99	0.00	0.00	0.00	0.00	0.61	4.44	0.00	211.02
190.1	0.00	0.00	0.00	3.16	0.00	0.00	0.00	0.00	0.61	4.38	0.00	205.76
195.1	0.00	0.12	0.00	3.34	0.00	0.00	0.00	0.00	0.60	4.30	0.00	200.35
200.1	0.00	0.42	0.00	3.59	0.00	0.00	0.00	0.00	0.60	4.23	0.00	196.45
205.0	0.00	0.89	0.00	3.88	0.00	0.00	0.00	0.00	0.62	4.28	0.00	200.15
210.1	0.00	1.63	0.00	3.96	0.00	0.00	0.00	0.00	0.63	4.35	0.00	203.51
215.0	0.00	2.10	0.00	4.06	0.00	0.00	0.00	0.00	0.60	4.33	0.00	196.20
220.1	0.00	2.30	0.00	4.23	0.00	0.00	0.00	0.00	0.57	4.27	0.00	186.36
225.1	0.00	2.37	0.00	4.33	0.00	0.00	0.00	0.00	0.56	4.21	0.00	178.72
230.0	0.00	2.39	0.00	4.36	0.00	0.00	0.00	0.00	0.55	4.15	0.00	173.85
