nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	997656.250	0	0.000	0	1488957.125	0
1	5.1	997614.125	0.000	0.000	0.000	1488928.500	0.000
2	10.1	997527.312	0.000	0.000	0.000	1488881.375	0.000
3	15.2	997439.188	0.000	0.000	0.000	1488816.500	0.000
4	20.1	997351.250	0.000	0.000	0.000	1488738.000	0.000
5	25.0	997288.062	0.000	0.000	0.000	1488661.750	0.000
6	30.1	997211.562	0.000	0.000	0.000	1488588.250	0.000
7	35.1	997120.625	0.000	0.000	0.000	1488533.000	0.000
8	40.0	996990.125	0.000	0.000	0.000	1488499.625	0.000
9	45.1	996796.938	0.000	0.000	0.000	1488477.125	0.000
10	50.1	996618.500	0.000	0.000	0.000	1488442.000	0.000
11	55.1	996468.875	0.000	0.000	0.000	1488404.750	0.000
12	60.0	996381.062	0.000	0.000	0.000	1488374.000	0.000
13	65.2	996296.000	0.000	0.000	0.000	1488339.375	0.000
14	70.0	996218.250	0.000	0.000	0.000	1488303.125	0.000
15	75.1	996095.062	0.000	0.000	0.000	1488262.375	0.000
16	80.1	995944.438	0.000	0.000	0.000	1488207.000	0.000
17	85.0	995813.688	0.000	0.000	0.000	1488147.250	0.000
18	90.0	995656.688	0.000	0.000	0.000	1488076.250	0.000
19	95.0	995505.375	0.000	0.000	0.000	1488005.625	0.000
20	100.0	995351.750	0.000	0.000	0.000	1487932.250	0.000
21	105.1	995188.938	0.000	0.000	0.000	1487843.375	0.000
22	110.1	995035.188	0.000	0.000	0.000	1487748.000	0.000
23	115.1	994899.688	0.000	0.000	0.000	1487646.625	0.000
24	120.1	994747.000	0.000	0.000	0.000	1487534.500	0.000
25	125.1	994583.812	0.000	0.000	0.000	1487420.625	0.000
26	130.1	994415.375	0.000	0.000	0.000	1487308.750	0.000
27	135.0	994250.250	0.000	0.000	0.000	1487196.875	0.000
28	140.1	994078.750	0.000	0.000	0.000	1487083.125	0.000
29	145.1	993921.438	0.000	0.000	0.000	1486964.875	0.000
30	150.0	993764.000	0.000	0.000	0.000	1486840.750	0.000
31	155.1	993597.500	0.000	0.000	0.000	1486714.875	0.000
32	160.0	993428.500	0.000	0.000	0.000	1486592.000	0.000
33	165.1	993254.750	0.000	0.000	0.000	1486462.500	0.000
34	170.0	993080.312	0.000	0.000	0.000	1486337.500	0.000
35	175.0	992898.688	0.000	0.000	0.000	1486206.125	0.000
36	180.0	992711.938	0.000	0.000	0.000	1486081.750	0.000
37	185.1	992516.125	0.000	0.000	0.000	1485946.125	0.000
38	190.1	992331.688	0.000	0.000	0.000	1485812.000	0.000
39	195.1	992145.562	0.000	0.000	0.000	1485666.250	0.000
40	200.1	991950.062	0.000	0.000	0.000	1485526.625	0.000
41	205.0	991768.875	0.000	0.000	0.000	1485399.000	0.000
42	210.1	991610.250	0.000	0.000	0.000	1485282.250	0.000
43	215.0	991449.500	0.000	0.000	0.000	1485167.750	0.000
44	220.1	991274.500	0.000	0.000	0.000	1485043.375	0.000
45	225.1	991096.625	0.000	0.000	0.000	1484929.625	0.000
46	230.0	990923.688	0.000	0.000	0.000	1484814.125	0.000
47	235.0	990755.562	0.000	0.000	0.000	1484702.875	0.000
48	240.0	990589.125	0.000	0.000	0.000	1484591.375	0.000
49	245.0	990412.875	0.000	0.000	0.000	1484474.500	0.000
50	250.0	990240.625	0.000	0.000	0.000	1484362.625	0.000
51	255.1	990057.938	0.000	0.000	0.000	1484244.125	0.000
52	260.0	989877.375	0.000	0.000	0.000	1484128.625	0.000
53	265.1	989692.000	0.000	0.000	0.000	1484013.875	0.000
54	270.1	989511.688	0.000	0.000	0.000	1483898.500	0.000
55	275.0	989340.812	0.000	0.000	0.000	1483785.750	0.000
56	280.1	989162.625	0.000	0.000	0.000	1483665.000	0.000
57	285.1	988989.562	0.000	0.000	0.000	1483547.500	0.000
58	290.0	988816.250	0.000	0.000	0.000	1483436.500	0.000
59	295.0	988636.375	0.000	0.000	0.000	1483326.750	0.000
60	300.1	988450.438	0.000	0.000	0.000	1483205.500	0.000
