nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*2.50	-----	*0.00	-----	*24.72	-----	*997656.2	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	2.50	0.00	0.00	0.00	24.72	0.00	997656.2	0.0	1488957.1	-----
1	18	0.400	9.3	5.1	6.49	29.46	0.00	0.00	24.02	12.64	997614.1	0.0	1488928.5	199316996096
2	41	0.395	11.3	10.1	8.83	39.79	0.00	0.00	23.45	13.99	997527.3	0.0	1488881.4	539659108352
3	67	0.375	8.5	15.2	11.03	51.06	0.00	0.00	24.27	13.50	997439.2	0.0	1488816.5	802878259200
4	96	0.365	8.7	20.1	11.42	51.38	0.00	0.00	24.31	18.33	997351.2	0.0	1488738.0	851155091456
5	124	0.364	8.5	25.0	8.98	51.58	0.00	0.00	24.01	31.88	997288.1	0.0	1488661.8	942542290944
6	154	0.367	8.4	30.1	9.67	50.59	0.00	0.00	27.63	30.42	997211.6	0.0	1488588.2	839396098048
7	183	0.364	8.7	35.1	14.43	50.37	0.00	0.00	29.03	22.29	997120.6	0.0	1488533.0	535482925056
8	211	0.362	8.9	40.0	15.50	48.89	0.00	0.00	26.15	14.35	996990.1	0.0	1488499.6	272991272960
9	241	0.394	6.3	45.1	14.16	46.28	0.00	0.00	24.26	13.80	996796.9	0.0	1488477.1	125016154112
10	270	0.400	8.9	50.1	13.65	41.57	0.00	0.00	24.39	17.34	996618.5	0.0	1488442.0	58349944832
11	297	0.396	10.0	55.1	12.98	35.89	0.00	0.00	25.45	15.74	996468.9	0.0	1488404.8	30945904640
12	320	0.398	10.7	60.0	12.55	33.68	0.00	0.00	27.99	15.88	996381.1	0.0	1488374.0	17302837248
13	347	0.397	10.2	65.2	12.10	33.50	0.00	0.00	26.53	14.26	996296.0	0.0	1488339.4	11109855232
14	373	0.396	8.8	70.0	11.70	33.36	0.00	0.00	24.43	13.47	996218.2	0.0	1488303.1	9584536576
15	410	0.390	6.4	75.1	11.18	33.25	0.00	0.00	24.90	16.02	996095.1	0.0	1488262.4	10288796672
16	449	0.384	7.6	80.1	10.71	33.29	0.00	0.00	25.79	15.49	995944.4	0.0	1488207.0	10177419264
17	486	0.385	6.6	85.0	10.32	33.27	0.00	0.00	25.38	14.21	995813.7	0.0	1488147.2	9624701952
18	527	0.384	6.3	90.0	9.97	33.34	0.00	0.00	24.83	14.98	995656.7	0.0	1488076.2	10201449472
19	566	0.364	6.4	95.0	10.19	33.40	0.00	0.00	24.96	15.44	995505.4	0.0	1488005.6	10987278336
20	605	0.363	6.5	100.0	10.70	33.22	0.00	0.00	25.23	15.55	995351.8	0.0	1487932.2	11278467072
21	644	0.370	6.5	105.1	11.08	33.27	0.00	0.00	25.14	15.23	995188.9	0.0	1487843.4	11126593536
22	683	0.366	6.5	110.1	11.36	33.30	0.00	0.00	24.94	15.12	995035.2	0.0	1487748.0	10823441408
23	721	0.373	6.4	115.1	11.54	33.31	0.00	0.00	24.81	14.87	994899.7	0.0	1487646.6	10576320512
24	761	0.379	6.1	120.1	11.61	33.32	0.00	0.00	24.69	14.87	994747.0	0.0	1487534.5	10594228224
25	801	0.380	6.1	125.1	11.70	33.31	0.00	0.00	24.62	14.90	994583.8	0.0	1487420.6	10723375104
26	842	0.369	6.3	130.1	11.76	32.20	0.00	0.00	24.62	14.99	994415.4	0.0	1487308.8	10795942912
27	882	0.378	6.3	135.0	11.80	32.21	0.00	0.00	24.59	15.12	994250.2	0.0	1487196.9	10684474368
28	923	0.377	6.2	140.1	11.76	32.24	0.00	0.00	24.54	15.16	994078.8	0.0	1487083.1	10487284736
29	964	0.366	6.0	145.1	11.72	32.27	0.00	0.00	24.49	15.13	993921.4	0.0	1486964.9	10285384704
30	1005	0.373	6.0	150.0	11.68	32.29	0.00	0.00	24.46	15.03	993764.0	0.0	1486840.8	10070736896
31	1047	0.373	5.9	155.1	11.60	32.37	0.00	0.00	24.40	14.99	993597.5	0.0	1486714.9	9855167488
32	1089	0.370	6.0	160.0	11.53	32.43	0.00	0.00	24.35	14.98	993428.5	0.0	1486592.0	9723330560
33	1132	0.372	5.9	165.1	11.47	32.10	0.00	0.00	24.31	15.02	993254.8	0.0	1486462.5	9574488064
34	1174	0.370	5.8	170.0	11.39	32.11	0.00	0.00	24.28	15.10	993080.3	0.0	1486337.5	9411009536
35	1217	0.369	5.9	175.0	11.30	32.09	0.00	0.00	24.26	15.11	992898.7	0.0	1486206.1	9220132864
36	1260	0.368	5.8	180.0	11.25	32.06	0.00	0.00	24.23	15.05	992711.9	0.0	1486081.8	9005381632
37	1304	0.368	5.7	185.1	11.13	31.99	0.00	0.00	24.14	15.11	992516.1	0.0	1485946.1	8819469312
38	1348	0.370	5.6	190.1	11.07	31.79	0.00	0.00	24.10	15.03	992331.7	0.0	1485812.0	8692196352
39	1394	0.370	5.4	195.1	10.93	31.98	0.00	0.00	24.02	15.17	992145.6	0.0	1485666.2	8655269888
40	1440	0.370	5.5	200.1	10.88	32.34	0.00	0.00	24.00	15.24	991950.1	0.0	1485526.6	8774042624
41	1480	0.373	6.8	205.0	11.16	32.73	0.00	0.00	24.29	14.93	991768.9	0.0	1485399.0	8612427776
42	1518	0.374	6.5	210.1	11.10	32.37	0.00	0.00	24.32	14.42	991610.2	0.0	1485282.2	7621729280
43	1557	0.365	6.4	215.0	10.81	32.04	0.00	0.00	24.05	14.89	991449.5	0.0	1485167.8	7394480640
44	1597	0.364	6.4	220.1	10.79	32.78	0.00	0.00	24.01	14.91	991274.5	0.0	1485043.4	7518891008
45	1636	0.363	6.5	225.1	10.82	32.70	0.00	0.00	24.11	14.78	991096.6	0.0	1484929.6	7500183552
46	1674	0.363	6.5	230.0	10.77	32.44	0.00	0.00	24.11	14.69	990923.7	0.0	1484814.1	7372480512
47	1712	0.362	6.6	235.0	10.71	31.88	0.00	0.00	24.04	14.66	990755.6	0.0	1484702.9	7256828928
48	1750	0.362	6.6	240.0	10.66	31.58	0.00	0.00	24.02	14.69	990589.1	0.0	1484591.4	7194552832
49	1788	0.368	6.7	245.0	10.62	30.95	0.00	0.00	24.02	14.66	990412.9	0.0	1484474.5	7114778624
50	1826	0.369	6.6	250.0	10.55	30.25	0.00	0.00	23.99	14.71	990240.6	0.0	1484362.6	7089667072
51	1865	0.368	6.5	255.1	10.50	29.49	0.00	0.00	23.94	14.70	990057.9	0.0	1484244.1	7087706112
52	1903	0.364	6.5	260.0	10.47	29.05	0.00	0.00	23.94	14.68	989877.4	0.0	1484128.6	7079601152
53	1942	0.363	6.5	265.1	10.40	30.60	0.00	0.00	23.92	14.72	989692.0	0.0	1484013.9	7044383232
54	1980	0.366	6.5	270.1	10.37	30.55	0.00	0.00	23.90	14.65	989511.7	0.0	1483898.5	6993759232
55	2018	0.366	6.5	275.0	10.32	30.51	0.00	0.00	23.88	14.69	989340.8	0.0	1483785.8	6954560000
56	2057	0.368	6.4	280.1	10.26	30.19	0.00	0.00	23.85	14.64	989162.6	0.0	1483665.0	6902193664
57	2095	0.366	6.5	285.1	10.23	30.08	0.00	0.00	23.85	14.68	988989.6	0.0	1483547.5	6899679232
58	2133	0.364	6.5	290.0	10.17	29.71	0.00	0.00	23.82	14.68	988816.2	0.0	1483436.5	6854767104
59	2171	0.364	6.6	295.0	10.14	29.52	0.00	0.00	23.81	14.64	988636.4	0.0	1483326.8	6826722304
60	2210	0.367	6.6	300.1	10.09	29.38	0.00	0.00	23.79	14.68	988450.4	0.0	1483205.5	6798557184
