T	Q1	V1	Q2	V2	Q3	V3
5.4	0.00	0.00	0.00	0.00	0.01	0.00
10.1	0.00	0.00	0.00	0.00	0.13	0.00
15.2	0.00	0.00	0.00	0.00	0.44	0.06
20.3	0.00	0.00	0.00	0.00	1.16	0.14
25.3	0.00	0.00	0.00	0.00	2.59	0.41
30.1	0.00	0.00	0.00	0.00	5.53	0.94
35.0	0.00	0.00	0.00	0.00	13.50	1.62
40.0	0.00	0.00	0.00	0.00	38.92	2.87
45.1	0.00	0.00	0.00	0.00	75.80	3.78
50.1	0.00	0.00	0.00	0.00	99.71	4.03
55.0	0.00	0.00	0.00	0.00	115.49	4.19
60.0	0.00	0.00	0.00	0.00	118.67	4.23
65.1	0.00	0.00	0.00	0.00	108.00	4.11
70.0	0.00	0.00	0.00	0.00	93.73	3.99
75.0	0.00	0.00	0.00	0.00	72.80	3.68
80.1	0.00	0.00	0.00	0.00	54.14	3.33
85.2	0.00	0.00	0.00	0.00	47.25	3.07
90.1	0.00	0.00	0.00	0.00	49.46	2.98
95.1	0.00	0.00	0.00	0.00	59.08	3.12
100.1	0.00	0.00	0.00	0.00	70.84	3.32
105.1	0.00	0.00	0.00	0.00	81.55	3.53
110.1	0.00	0.00	0.00	0.00	87.33	3.70
115.0	0.00	0.00	0.00	0.00	85.86	3.79
120.1	0.00	0.00	0.00	0.00	74.51	3.70
125.2	0.00	0.00	0.00	0.00	60.33	3.49
130.0	0.00	0.00	0.00	0.00	48.61	3.21
135.1	0.00	0.00	0.00	0.00	41.63	2.97
140.1	0.00	0.00	0.00	0.00	39.07	2.80
145.1	0.00	0.00	0.00	0.00	38.75	2.69
150.0	0.00	0.00	0.00	0.00	41.26	2.70
155.1	0.00	0.00	0.00	0.00	45.76	2.77
160.1	0.00	0.00	0.00	0.00	51.77	2.87
165.1	0.00	0.00	0.00	0.00	57.88	2.99
170.1	0.00	0.00	0.00	0.00	62.78	3.12
175.1	0.00	0.00	0.00	0.00	64.80	3.19
180.1	0.00	0.00	0.00	0.00	63.94	3.21
185.1	0.00	0.00	0.00	0.00	61.14	3.19
190.0	0.00	0.00	0.00	0.00	57.75	3.14
195.2	0.00	0.00	0.00	0.00	54.69	3.08
200.1	0.00	0.00	0.00	0.00	52.58	3.03
205.1	0.00	0.00	0.00	0.00	51.43	2.99
210.1	0.00	0.00	0.00	0.00	51.01	2.98
215.1	0.00	0.00	0.00	0.00	51.04	2.97
220.1	0.00	0.00	0.00	0.00	51.29	2.97
225.0	0.00	0.00	0.00	0.00	51.56	2.98
230.1	0.00	0.00	0.00	0.00	51.69	2.98
235.0	0.00	0.00	0.00	0.00	51.55	2.98
240.1	0.00	0.00	0.00	0.00	51.16	2.97
245.0	0.00	0.00	0.00	0.00	50.69	2.96
250.0	0.03	0.00	0.00	0.00	50.38	2.95
255.1	0.04	0.38	0.00	0.00	50.02	2.94
260.1	0.06	0.52	0.00	0.00	49.66	2.92
265.1	0.08	0.66	0.00	0.00	49.35	2.90
270.0	0.12	0.81	0.00	0.00	49.20	2.89
275.1	0.15	0.99	0.00	0.00	49.19	2.88
280.0	0.18	1.16	0.00	0.00	49.22	2.87
285.1	0.20	1.27	0.00	0.00	49.33	2.86
290.1	0.22	1.35	0.00	0.00	49.78	2.87
295.0	0.24	1.42	0.00	0.00	50.17	2.88
300.1	0.25	1.46	0.00	0.00	49.74	2.86
305.1	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
