nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*2.00	-----	*0.00	-----	*24.72	-----	*32500.0	*0.0	*1488957.1	-----
0	0	-----	-----	0.0	2.00	0.00	0.00	0.00	24.72	0.00	32500.0	0.0	1488957.1	-----
1	13	0.399	23.0	5.4	2.64	18.23	0.00	0.00	24.25	13.98	32490.6	0.0	1488935.6	5488741888
2	26	0.399	16.2	10.1	2.38	15.73	0.00	0.00	23.80	14.42	32471.7	0.0	1488911.2	5294176768
3	44	0.395	16.5	15.2	2.30	12.93	0.00	0.00	25.36	13.62	32454.7	0.0	1488879.1	2367496960
4	60	0.393	19.2	20.3	1.69	7.56	0.00	0.00	24.99	13.71	32444.7	0.0	1488846.9	912730624
5	74	0.398	15.1	25.3	1.44	7.09	0.00	0.00	24.23	13.28	32439.7	0.0	1488821.0	621662016
6	89	0.390	9.5	30.1	1.31	7.01	0.00	0.00	23.97	11.08	32437.9	0.0	1488789.8	531948256
7	106	0.393	18.0	35.0	1.22	8.61	0.00	0.00	24.42	14.60	32434.5	0.0	1488750.6	820285888
8	127	0.400	13.0	40.0	1.14	8.75	0.00	0.00	24.53	14.61	32432.8	0.0	1488703.8	1241212160
9	149	0.397	11.7	45.1	1.09	8.60	0.00	0.00	24.29	13.88	32428.4	0.0	1488650.5	1244575104
10	175	0.396	11.3	50.1	1.03	9.10	0.00	0.00	24.24	15.33	32426.8	0.0	1488582.4	1367359872
11	200	0.397	11.3	55.0	1.00	9.03	0.00	0.00	24.36	14.55	32422.2	0.0	1488521.4	1287999744
12	227	0.395	9.7	60.0	0.95	8.94	0.00	0.00	24.44	13.93	32419.7	0.0	1488452.0	1259261056
13	256	0.399	7.9	65.1	0.92	8.78	0.00	0.00	24.15	13.57	32414.8	0.0	1488371.4	1295328768
14	280	0.393	10.2	70.0	0.93	8.71	0.00	0.00	24.30	13.60	32408.3	0.0	1488305.8	1264018304
15	309	0.398	9.2	75.0	0.86	9.00	0.00	0.00	24.05	13.91	32407.0	0.0	1488224.9	1264414336
16	341	0.396	8.2	80.1	0.82	9.68	0.00	0.00	23.66	14.27	32402.5	0.0	1488125.6	1527299328
17	370	0.399	9.6	85.2	0.84	9.12	0.00	0.00	23.95	14.22	32395.9	0.0	1488034.4	1638951936
18	399	0.399	8.5	90.1	0.82	8.76	0.00	0.00	24.08	14.25	32390.5	0.0	1487940.6	1440581376
19	428	0.399	9.6	95.1	0.80	8.73	0.00	0.00	23.86	14.48	32384.9	0.0	1487846.5	1333388928
20	457	0.399	7.8	100.1	0.78	8.63	0.00	0.00	23.79	14.06	32380.8	0.0	1487754.4	1364318592
21	485	0.305	8.3	105.1	0.77	8.78	0.00	0.00	23.96	14.09	32375.8	0.0	1487661.4	1407310848
22	512	0.318	8.6	110.1	0.76	8.55	0.00	0.00	24.06	13.75	32370.5	0.0	1487569.6	1302234368
