nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	32500.000	0	0.000	0	1488957.125	0
1	5.4	32490.572	0.000	0.000	0.000	1488935.625	0.000
2	10.1	32471.713	0.000	0.000	0.000	1488911.250	0.000
3	15.2	32454.721	0.000	0.000	0.000	1488879.125	0.000
4	20.3	32444.715	0.000	0.000	0.000	1488846.875	0.000
5	25.3	32439.697	0.000	0.000	0.000	1488821.000	0.000
6	30.1	32437.883	0.000	0.000	0.000	1488789.750	0.000
7	35.0	32434.521	0.000	0.000	0.000	1488750.625	0.000
8	40.0	32432.764	0.000	0.000	0.000	1488703.750	0.000
9	45.1	32428.365	0.000	0.000	0.000	1488650.500	0.000
10	50.1	32426.820	0.000	0.000	0.000	1488582.375	0.000
11	55.0	32422.164	0.000	0.000	0.000	1488521.375	0.000
12	60.0	32419.684	0.000	0.000	0.000	1488452.000	0.000
13	65.1	32414.783	0.000	0.000	0.000	1488371.375	0.000
14	70.0	32408.326	0.000	0.000	0.000	1488305.750	0.000
15	75.0	32407.039	0.000	0.000	0.000	1488224.875	0.000
16	80.1	32402.549	0.000	0.000	0.000	1488125.625	0.000
17	85.2	32395.871	0.000	0.000	0.000	1488034.375	0.000
18	90.1	32390.484	0.000	0.000	0.000	1487940.625	0.000
19	95.1	32384.854	0.000	0.000	0.000	1487846.500	0.000
20	100.1	32380.783	0.000	0.000	0.000	1487754.375	0.000
21	105.1	32375.830	0.000	0.000	0.000	1487661.375	0.000
22	110.1	32370.469	0.000	0.000	0.000	1487569.625	0.000
23	115.0	32366.230	0.000	0.000	0.000	1487485.500	0.000
24	120.1	32362.941	0.000	0.000	0.000	1487399.375	0.000
25	125.2	32359.250	0.000	0.000	0.000	1487314.250	0.000
26	130.0	32356.088	0.000	0.000	0.000	1487229.000	0.000
27	135.1	32351.840	0.000	0.000	0.000	1487141.500	0.000
28	140.1	32348.393	0.000	0.000	0.000	1487042.125	0.000
29	145.1	32344.633	0.000	0.000	0.000	1486925.250	0.000
30	150.0	32338.393	0.000	0.000	0.000	1486797.000	0.000
31	155.1	32332.090	0.000	0.000	0.000	1486660.750	0.000
32	160.1	32325.953	0.000	0.000	0.000	1486532.250	0.000
33	165.1	32320.145	0.000	0.000	0.000	1486398.125	0.000
34	170.1	32314.863	0.000	0.000	0.000	1486262.875	0.000
35	175.1	32308.523	0.000	0.000	0.000	1486123.875	0.000
36	180.1	32302.594	0.000	0.000	0.000	1485986.375	0.000
37	185.1	32296.822	0.000	0.000	0.000	1485840.750	0.000
38	190.0	32291.461	0.000	0.000	0.000	1485702.250	0.000
39	195.2	32286.484	0.000	0.000	0.000	1485558.375	0.000
40	200.1	32280.438	0.000	0.000	0.000	1485418.375	0.000
41	205.1	32274.465	0.000	0.000	0.000	1485280.875	0.000
42	210.1	32268.838	0.000	0.000	0.000	1485140.000	0.000
43	215.1	32263.379	0.000	0.000	0.000	1484999.500	0.000
44	220.1	32258.232	0.000	0.000	0.000	1484858.125	0.000
45	225.0	32253.139	0.000	0.000	0.000	1484720.250	0.000
46	230.1	32247.766	0.000	0.000	0.000	1484577.875	0.000
47	235.0	32242.645	0.000	0.000	0.000	1484442.500	0.000
48	240.1	32237.373	0.000	0.000	0.000	1484299.250	0.000
49	245.0	32231.152	0.000	0.000	0.000	1484162.625	0.000
50	250.0	32226.283	0.000	0.000	0.000	1484024.375	0.000
51	255.1	32220.469	0.000	0.000	0.000	1483885.125	0.000
52	260.1	32215.307	0.000	0.000	0.000	1483747.875	0.000
53	265.1	32210.045	0.000	0.000	0.000	1483605.625	0.000
54	270.0	32204.549	0.000	0.000	0.000	1483472.500	0.000
55	275.1	32199.184	0.000	0.000	0.000	1483332.125	0.000
56	280.0	32194.283	0.000	0.000	0.000	1483200.250	0.000
57	285.1	32188.570	0.000	0.000	0.000	1483059.375	0.000
58	290.1	32182.748	0.000	0.000	0.000	1482924.125	0.000
59	295.0	32177.848	0.000	0.000	0.000	1482794.375	0.000
60	300.1	32173.039	0.000	0.000	0.000	1482656.250	0.000
