T	H1	V1	E1	Q1	H2	V2	E2	Q2	H3	V3	E3	Q3
0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
10.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16
15.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.08	0.00	0.48
20.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.26	0.00	1.19
25.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.66	0.00	3.34
30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.40	0.00	9.35
35.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	2.33	0.00	22.72
40.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.90	0.00	38.28
45.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.20	0.00	48.42
50.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.30	0.00	51.51
55.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.27	0.00	50.74
60.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.20	0.00	49.46
65.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.18	0.00	50.23
70.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.22	0.00	52.27
75.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	3.25	0.00	53.11
80.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.24	0.00	51.43
85.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.18	0.00	48.27
90.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.11	0.00	46.09
95.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.09	0.00	46.71
100.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.14	0.00	48.87
105.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.18	0.00	50.09
110.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	3.17	0.00	48.27
115.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.08	0.00	42.81
120.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.89	0.00	35.69
125.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.67	0.00	29.13
130.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	2.48	0.00	25.04
135.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	2.39	0.00	24.16
140.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	2.42	0.00	26.03
145.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.54	0.00	29.64
150.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.69	0.00	33.80
155.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.82	0.00	37.76
160.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	2.92	0.00	41.05
165.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.01	0.00	43.85
170.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.07	0.00	45.81
175.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.11	0.00	46.52
180.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	3.11	0.00	45.75
185.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	3.06	0.00	43.53
190.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	2.99	0.00	40.62
195.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.90	0.00	37.66
200.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.83	0.00	35.55
205.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.77	0.00	34.22
210.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.74	0.00	33.46
215.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.72	0.00	32.80
220.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.69	0.00	31.95
225.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.66	0.00	30.92
230.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.62	0.00	30.10
235.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.60	0.00	29.74
240.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	2.60	0.00	30.09
245.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.63	0.00	31.12
250.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	2.69	0.00	32.68
255.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.74	0.00	34.31
260.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.79	0.00	35.85
265.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.84	0.00	37.14
270.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.87	0.00	37.93
275.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.88	0.00	38.26
280.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.88	0.00	38.05
285.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.87	0.00	37.36
290.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	2.84	0.00	36.28
295.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.80	0.00	35.16
300.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	2.77	0.00	34.14
