nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.00	-----	*0.00	-----	*24.72	-----	*105156.2	*0.0	*1488957.1	-----
51	1013	0.369	12.9	255.1	1.07	16.03	0.00	0.00	24.27	13.06	101921.4	0.0	1486087.1	1561832832
52	1032	0.369	12.9	260.0	1.06	16.03	0.00	0.00	24.27	13.06	101848.0	0.0	1486021.8	1555259776
53	1052	0.368	12.9	265.2	1.06	16.05	0.00	0.00	24.27	13.06	101768.9	0.0	1485952.9	1549723776
54	1071	0.367	12.9	270.1	1.05	16.03	0.00	0.00	24.27	13.04	101694.0	0.0	1485883.0	1543390976
55	1091	0.368	12.9	275.2	1.05	16.04	0.00	0.00	24.27	13.07	101614.2	0.0	1485809.0	1539188864
56	1110	0.368	12.9	280.1	1.05	16.04	0.00	0.00	24.26	13.05	101540.9	0.0	1485740.2	1534197248
57	1129	0.366	12.9	285.0	1.04	16.05	0.00	0.00	24.26	13.03	101463.5	0.0	1485675.1	1526583040
58	1149	0.367	12.9	290.2	1.04	16.02	0.00	0.00	24.25	13.05	101382.4	0.0	1485603.2	1520834560
59	1168	0.366	12.9	295.1	1.03	16.03	0.00	0.00	24.24	13.05	101305.4	0.0	1485533.5	1516414336
60	1187	0.367	12.9	300.0	1.03	16.02	0.00	0.00	24.24	13.03	101228.3	0.0	1485464.1	1511385216
