nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	105156.250	0	0.000	0	1488957.125	0
1	5.3	105137.016	0.000	0.000	0.000	1488935.125	0.000
2	10.0	105104.641	0.000	0.000	0.000	1488902.625	0.000
3	15.1	105056.531	0.000	0.000	0.000	1488859.250	0.000
4	20.2	105000.734	0.000	0.000	0.000	1488802.500	0.000
5	25.0	104943.836	0.000	0.000	0.000	1488754.500	0.000
6	30.1	104897.875	0.000	0.000	0.000	1488706.875	0.000
7	35.2	104849.258	0.000	0.000	0.000	1488665.500	0.000
8	40.0	104799.281	0.000	0.000	0.000	1488627.625	0.000
9	45.1	104743.430	0.000	0.000	0.000	1488582.625	0.000
10	50.2	104685.320	0.000	0.000	0.000	1488537.250	0.000
11	55.1	104628.969	0.000	0.000	0.000	1488489.750	0.000
12	60.2	104569.172	0.000	0.000	0.000	1488444.250	0.000
13	65.0	104513.344	0.000	0.000	0.000	1488397.375	0.000
14	70.2	104457.773	0.000	0.000	0.000	1488348.250	0.000
15	75.0	104401.758	0.000	0.000	0.000	1488302.250	0.000
16	80.2	104340.922	0.000	0.000	0.000	1488249.750	0.000
17	85.1	104282.391	0.000	0.000	0.000	1488198.250	0.000
18	90.0	104223.445	0.000	0.000	0.000	1488148.625	0.000
19	95.2	104157.117	0.000	0.000	0.000	1488096.000	0.000
20	100.1	104096.898	0.000	0.000	0.000	1488049.000	0.000
21	105.1	104033.219	0.000	0.000	0.000	1488001.000	0.000
22	110.0	103965.812	0.000	0.000	0.000	1487946.375	0.000
23	115.2	103896.023	0.000	0.000	0.000	1487891.375	0.000
24	120.2	103829.734	0.000	0.000	0.000	1487833.000	0.000
25	125.2	103764.055	0.000	0.000	0.000	1487780.625	0.000
26	130.2	103696.188	0.000	0.000	0.000	1487724.625	0.000
27	135.2	103627.594	0.000	0.000	0.000	1487670.375	0.000
28	140.2	103555.969	0.000	0.000	0.000	1487614.250	0.000
29	145.2	103492.258	0.000	0.000	0.000	1487554.750	0.000
30	150.2	103426.578	0.000	0.000	0.000	1487496.750	0.000
31	155.2	103360.742	0.000	0.000	0.000	1487437.500	0.000
32	160.0	103297.180	0.000	0.000	0.000	1487379.375	0.000
33	165.1	103227.742	0.000	0.000	0.000	1487317.750	0.000
34	170.1	103158.078	0.000	0.000	0.000	1487248.000	0.000
35	175.2	103085.898	0.000	0.000	0.000	1487182.500	0.000
36	180.0	103019.352	0.000	0.000	0.000	1487115.125	0.000
37	185.2	102945.852	0.000	0.000	0.000	1487044.000	0.000
38	190.0	102875.742	0.000	0.000	0.000	1486979.625	0.000
39	195.2	102801.969	0.000	0.000	0.000	1486914.000	0.000
40	200.1	102730.023	0.000	0.000	0.000	1486847.375	0.000
41	205.3	102655.781	0.000	0.000	0.000	1486778.875	0.000
42	210.2	102587.141	0.000	0.000	0.000	1486711.375	0.000
43	215.1	102516.695	0.000	0.000	0.000	1486644.000	0.000
44	220.0	102446.188	0.000	0.000	0.000	1486574.750	0.000
45	225.2	102371.164	0.000	0.000	0.000	1486502.000	0.000
46	230.1	102299.203	0.000	0.000	0.000	1486436.500	0.000
47	235.2	102222.008	0.000	0.000	0.000	1486362.750	0.000
48	240.1	102148.312	0.000	0.000	0.000	1486297.875	0.000
49	245.0	102073.883	0.000	0.000	0.000	1486226.250	0.000
50	250.2	101995.039	0.000	0.000	0.000	1486156.250	0.000
51	255.1	101921.438	0.000	0.000	0.000	1486087.125	0.000
52	260.0	101848.000	0.000	0.000	0.000	1486021.750	0.000
53	265.2	101768.945	0.000	0.000	0.000	1485952.875	0.000
54	270.1	101694.016	0.000	0.000	0.000	1485883.000	0.000
55	275.2	101614.172	0.000	0.000	0.000	1485809.000	0.000
56	280.1	101540.883	0.000	0.000	0.000	1485740.250	0.000
57	285.0	101463.516	0.000	0.000	0.000	1485675.125	0.000
58	290.2	101382.359	0.000	0.000	0.000	1485603.250	0.000
59	295.1	101305.398	0.000	0.000	0.000	1485533.500	0.000
60	300.0	101228.273	0.000	0.000	0.000	1485464.125	0.000
