T	Q1	V1	Q2	V2	Q3	V3
5.3	0.00	0.00	0.00	0.00	0.01	0.00
10.0	0.00	0.00	0.00	0.00	0.16	0.00
15.1	0.00	0.00	0.00	0.00	0.48	0.08
20.2	0.00	0.00	0.00	0.00	1.19	0.26
25.0	0.00	0.00	0.00	0.00	3.34	0.66
30.1	0.00	0.00	0.00	0.00	9.35	1.40
35.2	0.00	0.00	0.00	0.00	22.72	2.33
40.0	0.00	0.00	0.00	0.00	38.28	2.90
45.1	0.00	0.00	0.00	0.00	48.42	3.20
50.2	0.00	0.00	0.00	0.00	51.51	3.30
55.1	0.00	0.00	0.00	0.00	50.74	3.27
60.2	0.00	0.00	0.00	0.00	49.46	3.20
65.0	0.00	0.00	0.00	0.00	50.23	3.18
70.2	0.00	0.00	0.00	0.00	52.27	3.22
75.0	0.00	0.00	0.00	0.00	53.11	3.25
80.2	0.00	0.00	0.00	0.00	51.43	3.24
85.1	0.00	0.00	0.00	0.00	48.27	3.18
90.0	0.00	0.00	0.00	0.00	46.09	3.11
95.2	0.00	0.00	0.00	0.00	46.71	3.09
100.1	0.00	0.00	0.00	0.00	48.87	3.14
105.1	0.00	0.00	0.00	0.00	50.09	3.18
110.0	0.00	0.00	0.00	0.00	48.27	3.17
115.2	0.00	0.00	0.00	0.00	42.81	3.08
120.2	0.00	0.00	0.00	0.00	35.69	2.89
125.2	0.00	0.00	0.00	0.00	29.13	2.67
130.2	0.00	0.00	0.00	0.00	25.04	2.48
135.2	0.00	0.00	0.00	0.00	24.16	2.39
140.2	0.00	0.00	0.00	0.00	26.03	2.42
145.2	0.00	0.00	0.00	0.00	29.64	2.54
150.2	0.00	0.00	0.00	0.00	33.80	2.69
155.2	0.00	0.00	0.00	0.00	37.76	2.82
160.0	0.00	0.00	0.00	0.00	41.05	2.92
165.1	0.00	0.00	0.00	0.00	43.85	3.01
170.1	0.00	0.00	0.00	0.00	45.81	3.07
175.2	0.00	0.00	0.00	0.00	46.52	3.11
180.0	0.00	0.00	0.00	0.00	45.75	3.11
185.2	0.00	0.00	0.00	0.00	43.53	3.06
190.0	0.00	0.00	0.00	0.00	40.62	2.99
195.2	0.00	0.00	0.00	0.00	37.66	2.90
200.1	0.00	0.00	0.00	0.00	35.55	2.83
205.3	0.00	0.00	0.00	0.00	34.22	2.77
210.2	0.00	0.00	0.00	0.00	33.46	2.74
215.1	0.00	0.00	0.00	0.00	32.80	2.72
220.0	0.00	0.00	0.00	0.00	31.95	2.69
225.2	0.00	0.00	0.00	0.00	30.92	2.66
230.1	0.00	0.00	0.00	0.00	30.10	2.62
235.2	0.00	0.00	0.00	0.00	29.74	2.60
240.1	0.00	0.00	0.00	0.00	30.09	2.60
245.0	0.00	0.00	0.00	0.00	31.12	2.63
250.2	0.00	0.00	0.00	0.00	32.68	2.69
255.1	0.00	0.00	0.00	0.00	34.31	2.74
260.0	0.00	0.00	0.00	0.00	35.85	2.79
265.2	0.00	0.00	0.00	0.00	37.14	2.84
270.1	0.00	0.00	0.00	0.00	37.93	2.87
275.2	0.00	0.00	0.00	0.00	38.26	2.88
280.1	0.00	0.00	0.00	0.00	38.05	2.88
285.0	0.00	0.00	0.00	0.00	37.36	2.87
290.2	0.00	0.00	0.00	0.00	36.28	2.84
295.1	0.00	0.00	0.00	0.00	35.16	2.80
300.0	0.00	0.00	0.00	0.00	34.14	2.77
305.0	0.00	0.00	0.00	0.00	0.00	0.00
100000.0	0.00	0.00	0.00	0.00	0.00	0.00
